id,recorded_type,recorded_date,recorded_amount,recorded_payment/receipt_status,recorded_payment_method,recorded_approver,recorded_preparer,recorded_receive_method,recorded_cost_per_unit,supplier_id,supplier_name,product_id,recorded_product_name,recorded_quantity,recorded_unit_price,recorded_customer_id,recorded_tax_amount,recorded_after_tax_amount,recorded_cost_amount,recorded_profit,invoice,risk_issues
Initial20231231001,Cash deposit,2023-12-31,3000000.0,,,,,,,,,,,,,,,,,,"On December 31, 2023, an invoice was issued for a Cash deposit, totaling $3000000.00.",
Initial20231231001,Bank deposit,2023-12-31,5000000.0,,,,,,,,,,,,,,,,,,"On December 31, 2023, an invoice was issued for a Bank deposit, totaling $5000000.00.",
Initial20231231001,Fixed Assets,2023-12-31,5000000.0,,,,,,,,,,,,,,,,,,"On December 31, 2023, an invoice was issued for a Fixed Assets, totaling $5000000.00.",
Expense20240101001,Sales Expenses,2024-01-01,12654.4,Paid,Cash,Director,Staff,,,,,,,,,,,,,,"On January 01, 2024, an invoice was issued for a Sales Expenses, totaling $12654.40. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Staff, and the approver is Director.",
Depreciation20240101001,Depreciation,2024-01-01,45756.35,,,,,,,,,,,,,,,,,,"On January 01, 2024, an invoice was issued for a Depreciation, totaling $45756.35.",
Interest20240101001,Interest Receivables,2024-01-01,445.0,Unpaid,,,,Interest receviable,,,,,,,,,,,,,"On January 01, 2024, an invoice was issued for a Interest Receivables, totaling $445.00. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Purchase20231231001,Purchase,2023-12-31,60000.0,Unpaid,Account Payable,Director,Staff,,20000.0,S008,Supplier 8,S003,Premium Consulting,3.0,20000.0,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 3.0 units at a unit price of $20000.00, totaling $60000.00. The payment_method of this transaction was account payable, and this transaction was unpaid. This transaction was prepared by Staff, and the approver is Director. The supplier ID is S008, and the supplier name is Supplier 8.",
Purchase20231231002,Purchase,2023-12-31,100000.0,Paid,Bank Transfer,Director,Supervisor,,100000.0,S002,Supplier 2,S004,Enterprise Solution,1.0,100000.0,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 1.0 units at a unit price of $100000.00, totaling $100000.00. The payment_method of this transaction was bank transfer, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director. The supplier ID is S002, and the supplier name is Supplier 2.",
Expense20240102001,Administrative Expenses,2024-01-02,4436.41,Paid,Cash,Director,Staff,,,,,,,,,,,,,,"On January 02, 2024, an invoice was issued for a Administrative Expenses, totaling $4436.41. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Staff, and the approver is Director.",
Interest20240102002,Interest Receivables,2024-01-02,436.1,Unpaid,,,,Interest receviable,,,,,,,,,,,,,"On January 02, 2024, an invoice was issued for a Interest Receivables, totaling $436.10. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
