id,type,date,recorded_date,amount,recorded_amount,payment/receipt_status,payment_method,approver,preparer,receive_method,cost_per_unit,supplier_id,supplier_name,product_id,product_name,quantity,unit_price,customer_id,tax_amount,after_tax_amount,cost_amount,profit
Initial20231231001,Cash deposit,2023-12-31,2023-12-31,3000000.0,3000000.0,,,,,,,,,,,,,,,,,
Initial20231231001,Bank deposit,2023-12-31,2023-12-31,5000000.0,5000000.0,,,,,,,,,,,,,,,,,
Initial20231231001,Fixed Assets,2023-12-31,2023-12-31,5000000.0,5000000.0,,,,,,,,,,,,,,,,,
Expense20240101001,Sales Expenses,2024-01-01,2024-01-01,12654.4,12654.4,Paid,Cash,Director,Staff,,,,,,,,,,,,,
Depreciation20240101001,Depreciation,2024-01-01,2024-01-01,45756.35,45756.35,,,,,,,,,,,,,,,,,
Interest20240101001,Interest Receivables,2024-01-01,2024-01-01,445.0,445.0,Unpaid,,,,Interest receviable,,,,,,,,,,,,
Purchase20231231001,Purchase,2023-12-31,2023-12-31,60000.0,60000.0,Unpaid,Account Payable,Director,Staff,,20000.0,S008,Supplier 8,S003,Premium Consulting,3.0,20000.0,,,,,
Purchase20231231002,Purchase,2023-12-31,2023-12-31,100000.0,100000.0,Paid,Bank Transfer,Director,Supervisor,,100000.0,S002,Supplier 2,S004,Enterprise Solution,1.0,100000.0,,,,,
Expense20240102001,Administrative Expenses,2024-01-02,2024-01-02,4436.41,4436.41,Paid,Cash,Director,Staff,,,,,,,,,,,,,
Interest20240102002,Interest Receivables,2024-01-02,2024-01-02,436.09999999999997,436.09999999999997,Unpaid,,,,Interest receviable,,,,,,,,,,,,
Sale20240103002,Sale,2024-01-03,2024-01-03,42365.71,42365.71,Unpaid,,,,Account Receviable,20000.0,,,S003,Premium Consulting,1.0,42365.71,C010,2118.29,40247.42,20000.0,22365.71
Sale20240103003,Sale,2024-01-03,2024-01-03,210203.88,210203.88,Unpaid,,,,Account Receviable,100000.0,,,S004,Enterprise Solution,1.0,210203.88,C010,10510.19,199693.69,100000.0,110203.88
Purchase20231231003,Purchase,2023-12-31,2023-12-31,3000.0,3000.0,Paid,Bank Transfer,Director,Staff,,1000.0,S003,Supplier 3,S001,Basic Consulting,3.0,1000.0,,,,,
Expense20240103001,Sales Expenses,2024-01-03,2024-01-03,6868.64,6868.64,Paid,Cash,Director,Supervisor,,,,,,,,,,,,,
Interest20240103003,Interest Receivables,2024-01-03,2024-01-03,435.83299999999997,435.83299999999997,Unpaid,,,,Interest receviable,,,,,,,,,,,,
Purchase20231231004,Purchase,2023-12-31,2023-12-31,5000.0,5000.0,Paid,Bank Transfer,Director,Staff,,5000.0,S002,Supplier 2,S002,Standard Consulting,1.0,5000.0,,,,,
Expense20240104001,Sales Expenses,2024-01-04,2024-01-04,11000.54,11000.54,Paid,Cash,Director,Staff,,,,,,,,,,,,,
Expense20240104001,Sales Expenses,2024-01-04,2024-01-04,7711.09,7711.09,Paid,Cash,Director,Staff,,,,,,,,,,,,,
Interest20240104004,Interest Receivables,2024-01-04,2024-01-04,435.388,435.388,Unpaid,,,,Interest receviable,,,,,,,,,,,,
Sale20240105007,Sale,2024-01-05,2024-01-05,14282.89,14282.89,Unpaid,,,,Account Receviable,5000.0,,,S002,Standard Consulting,1.0,14282.89,C016,714.14,13568.75,5000.0,9282.89
Sale20240105008,Sale,2024-01-05,2024-01-05,57947.08,57947.08,Unpaid,,,,Account Receviable,20000.0,,,S003,Premium Consulting,1.0,57947.08,C002,2897.35,55049.73,20000.0,37947.08
Sale20240105009,Sale,2024-01-05,2024-01-05,2074.66,2074.66,Unpaid,,,,Account Receviable,1000.0,,,S001,Basic Consulting,1.0,2074.66,C015,103.73,1970.93,1000.0,1074.6599999999999
Purchase20231231005,Purchase,2023-12-31,2023-12-31,15000.0,15000.0,Paid,Bank Transfer,Director,Staff,,5000.0,S003,Supplier 3,S002,Standard Consulting,3.0,5000.0,,,,,
Purchase20231231006,Purchase,2023-12-31,2023-12-31,60000.0,60000.0,Unpaid,Account Payable,Director,Supervisor,,20000.0,S008,Supplier 8,S003,Premium Consulting,3.0,20000.0,,,,,
Expense20240105001,Financial Expenses,2024-01-05,2024-01-05,10108.46,10108.46,Paid,Cash,Director,Staff,,,,,,,,,,,,,
Interest20240105005,Interest Receivables,2024-01-05,2024-01-05,434.053,434.053,Unpaid,,,,Interest receviable,,,,,,,,,,,,
Sale20240106010,Sale,2024-01-06,2024-01-06,9788.79,9788.79,Paid,,,,Cash,5000.0,,,S002,Standard Consulting,1.0,9788.79,C002,489.44,9299.35,5000.0,4788.790000000001
Sale20240106011,Sale,2024-01-06,2024-01-06,2971.81,2971.81,Unpaid,,,,Account Receviable,1000.0,,,S001,Basic Consulting,1.0,2971.81,C004,148.59,2823.22,1000.0,1971.81
Expense20240106001,Sales Expenses,2024-01-06,2024-01-06,12123.55,12123.55,Paid,Cash,Director,Staff,,,,,,,,,,,,,
Interest20240106006,Interest Receivables,2024-01-06,2024-01-06,434.053,434.053,Unpaid,,,,Interest receviable,,,,,,,,,,,,
Sale20240107013,Sale,2024-01-07,2024-01-07,2160.53,2160.53,Unpaid,,,,Account Receviable,1000.0,,,S001,Basic Consulting,1.0,2160.53,C004,108.03,2052.5,1000.0,1160.5300000000002
Sale20240107014,Sale,2024-01-07,2024-01-07,43879.89,43879.89,Unpaid,,,,Account Receviable,20000.0,,,S003,Premium Consulting,1.0,43879.89,C017,2193.99,41685.9,20000.0,23879.89
Expense20240107001,Administrative Expenses,2024-01-07,2024-01-07,7572.85,7572.85,Paid,Cash,Director,Supervisor,,,,,,,,,,,,,
Interest20240107007,Interest Receivables,2024-01-07,2024-01-07,434.053,434.053,Unpaid,,,,Interest receviable,,,,,,,,,,,,
Sale20240108015,Sale,2024-01-08,2024-01-08,53770.35,53770.35,Paid,,,,Cash,20000.0,,,S003,Premium Consulting,1.0,53770.35,C006,2688.52,51081.83,20000.0,33770.35
Purchase20231231007,Purchase,2023-12-31,2023-12-31,10000.0,10000.0,Unpaid,Account Payable,Director,Supervisor,,5000.0,S003,Supplier 3,S002,Standard Consulting,2.0,5000.0,,,,,
Expense20240108001,Administrative Expenses,2024-01-08,2024-01-08,9907.39,9907.39,Paid,Cash,Director,Supervisor,,,,,,,,,,,,,
Expense20240108001,Sales Expenses,2024-01-08,2024-01-08,19859.78,19859.78,Paid,Cash,Director,Staff,,,,,,,,,,,,,
Interest20240108008,Interest Receivables,2024-01-08,2024-01-08,434.053,434.053,Unpaid,,,,Interest receviable,,,,,,,,,,,,
Purchase20231231008,Purchase,2023-12-31,2023-12-31,300000.0,300000.0,Paid,Bank Transfer,Director,Staff,,100000.0,S010,Supplier 10,S004,Enterprise Solution,3.0,100000.0,,,,,
Expense20240109001,Administrative Expenses,2024-01-09,2024-01-09,7508.13,7508.13,Paid,Cash,Director,Supervisor,,,,,,,,,,,,,
Expense20240109001,Sales Expenses,2024-01-09,2024-01-09,13154.69,13154.69,Paid,Cash,Director,Staff,,,,,,,,,,,,,
Interest20240109009,Interest Receivables,2024-01-09,2024-01-09,407.35299999999995,407.35299999999995,Unpaid,,,,Interest receviable,,,,,,,,,,,,
Expense20240110001,Administrative Expenses,2024-01-10,2024-01-10,4915.48,4915.48,Paid,Cash,Director,Supervisor,,,,,,,,,,,,,
Expense20240110001,Administrative Expenses,2024-01-10,2024-01-10,4177.41,4177.41,Paid,Cash,Director,Staff,,,,,,,,,,,,,
Interest20240110010,Interest Receivables,2024-01-10,2024-01-10,407.35299999999995,407.35299999999995,Unpaid,,,,Interest receviable,,,,,,,,,,,,
Expense20240111001,Administrative Expenses,2024-01-11,2024-01-11,7460.0,7460.0,Paid,Cash,Director,Supervisor,,,,,,,,,,,,,
Interest20240111011,Interest Receivables,2024-01-11,2024-01-11,407.35299999999995,407.35299999999995,Unpaid,,,,Interest receviable,,,,,,,,,,,,
Sale20240112018,Sale,2024-01-12,2024-01-12,9794.76,9794.76,Paid,,,,Cash,5000.0,,,S002,Standard Consulting,1.0,9794.76,C005,489.74,9305.02,5000.0,4794.76
Expense20240112001,Sales Expenses,2024-01-12,2024-01-12,18414.02,18414.02,Paid,Cash,Director,Supervisor,,,,,,,,,,,,,
Expense20240112001,Administrative Expenses,2024-01-12,2024-01-12,3585.9,3585.9,Paid,Cash,Director,Staff,,,,,,,,,,,,,
