Account,Initial_amount,Initial_date,End_amount,End_date
Cash on Hand,3000000.00,2023-12-31,3057369.78,2024-02-05
Bank Deposits,5000000.00,2023-12-31,4292000.00,2024-02-05
Interest Receivable,0.00,2023-12-31,14575.80,2024-02-05
Accounts Receivable,0.00,2023-12-31,2149792.45,2024-02-05
Inventory,0.00,2023-12-31,112000.00,2024-02-05
Total Current Assets,8000000.00,2023-12-31,9625738.03,2024-02-05
Fixed Assets,5000000.00,2023-12-31,5000000.00,2024-02-05
Accumulated Depreciation,0.00,2023-12-31,91509.25,2024-02-05
Total Non-current Assets,5000000.00,2023-12-31,4908490.75,2024-02-05
Total Assets,13000000.00,2023-12-31,14534228.78,2024-02-05
Accounts Payable,0.00,2023-12-31,485000.00,2024-02-05
Taxes Payable,0.00,2023-12-31,143478.02,2024-02-05
Total Current Liabilities,0.00,2023-12-31,628478.02,2024-02-05
Paid-in Capital,13000000.00,2023-12-31,13000000.00,2024-02-05
Retained Earnings,0.00,2023-12-31,905750.76,2024-02-05
Total Owner's Equity,13000000.00,2023-12-31,13905750.76,2024-02-05
Total Liabilities and Owner's Equity,13000000.00,2023-12-31,14534228.78,2024-02-05
