Account,Initial_amount,Initial_date,End_amount,End_date
Cash on Hand,3000000.00,2023-12-31,4560423.24,2024-01-29
Bank Deposits,5000000.00,2023-12-31,3655000.00,2024-01-29
Interest Receivable,0.00,2023-12-31,10051.66,2024-01-29
Accounts Receivable,0.00,2023-12-31,1133414.13,2024-01-29
Inventory,0.00,2023-12-31,975000.00,2024-01-29
Total Current Assets,8000000.00,2023-12-31,10333889.03,2024-01-29
Fixed Assets,5000000.00,2023-12-31,5000000.00,2024-01-29
Accumulated Depreciation,0.00,2023-12-31,45757.71,2024-01-29
Total Non-current Assets,5000000.00,2023-12-31,4954242.29,2024-01-29
Total Assets,13000000.00,2023-12-31,15288131.32,2024-01-29
Accounts Payable,0.00,2023-12-31,825000.00,2024-01-29
Taxes Payable,0.00,2023-12-31,299588.25,2024-01-29
Total Current Liabilities,0.00,2023-12-31,1124588.25,2024-01-29
Paid-in Capital,13000000.00,2023-12-31,13000000.00,2024-01-29
Retained Earnings,0.00,2023-12-31,1163543.07,2024-01-29
Total Owner's Equity,13000000.00,2023-12-31,14163543.07,2024-01-29
Total Liabilities and Owner's Equity,13000000.00,2023-12-31,15288131.32,2024-01-29
