Account,Amount,Date
Cash Flow From Operating Activities,,2024-01-29
Net Profit ,1163543.07,2024-01-29
Depreciation ,45757.71,2024-01-29
(Increase) Decrease in Accounts Receivable ,-1133414.13,2024-01-29
(Increase) Decrease in Interest Receivable ,-10051.66,2024-01-29
(Increase) Decrease in Inventory ,-975000.00,2024-01-29
Increase (Decrease) in Accounts Payable ,825000.00,2024-01-29
Increase (Decrease) in Tax Payable ,299588.25,2024-01-29
Net Cash Flow from Operating Activities ,215423.24,2024-01-29
Cash Flow from Investing Activities,,2024-01-29
Purchase of Fixed Assets ,0.00,2024-01-29
Net Cash Flow from Investing Activities ,-0.00,2024-01-29
Cash and Cash Equivalents,,2024-01-29
Beginning Balance ,8000000.00,2024-01-29
Ending Balance ,8215423.24,2024-01-29
Net Increase ,215423.24,2024-01-29
