Account,Initial_amount,Initial_date,End_amount,End_date
Cash on Hand,3000000.00,2023-12-31,2179154.14,2024-02-05
Bank Deposits,5000000.00,2023-12-31,2952150.00,2024-02-05
Interest Receivable,0.00,2023-12-31,9881.70,2024-02-05
Accounts Receivable,0.00,2023-12-31,200359.99,2024-02-05
Inventory,0.00,2023-12-31,7848830.00,2024-02-05
Total Current Assets,8000000.00,2023-12-31,13190375.83,2024-02-05
Fixed Assets,8000000.00,2023-12-31,8000000.00,2024-02-05
Accumulated Depreciation,0.00,2023-12-31,91488.35,2024-02-05
Total Non-current Assets,8000000.00,2023-12-31,7908511.65,2024-02-05
Total Assets,16000000.00,2023-12-31,21098887.48,2024-02-05
Accounts Payable,0.00,2023-12-31,5015020.00,2024-02-05
Taxes Payable,0.00,2023-12-31,27369.63,2024-02-05
Total Current Liabilities,0.00,2023-12-31,5042389.63,2024-02-05
Paid-in Capital,16000000.00,2023-12-31,16000000.00,2024-02-05
Retained Earnings,0.00,2023-12-31,56497.85,2024-02-05
Total Owner's Equity,16000000.00,2023-12-31,16056497.85,2024-02-05
Total Liabilities and Owner's Equity,16000000.00,2023-12-31,21098887.48,2024-02-05
