Account,Amount,Date
Main Business Revenue,547392.30,2024-02-05
Total Revenue,547392.30,2024-02-05
Cost of Goods Sold,353220.00,2024-02-05
Total Cost,353220.00,2024-02-05
Gross Profit,194172.30,2024-02-05
Administrative Expenses,11762.87,2024-02-05
Selling Expenses,14714.68,2024-02-05
Depreciation,91488.35,2024-02-05
Financial Expenses,2220.62,2024-02-05
Total Expenses,120186.52,2024-02-05
Interest Income,9881.70,2024-02-05
Profit Before Tax,83867.48,2024-02-05
Tax Expense,27369.63,2024-02-05
Net Profit,56497.85,2024-02-05
