Account,Amount,Date
Main Business Revenue,22876677.56,2024-02-05
Total Revenue,22876677.56,2024-02-05
Cost of Goods Sold,16400000.00,2024-02-05
Total Cost,16400000.00,2024-02-05
Gross Profit,6476677.56,2024-02-05
Administrative Expenses,1192395.86,2024-02-05
Selling Expenses,1461486.34,2024-02-05
Depreciation,120631.67,2024-02-05
Financial Expenses,632582.44,2024-02-05
Total Expenses,3407096.31,2024-02-05
Interest Income,13240.11,2024-02-05
Profit Before Tax,3082821.36,2024-02-05
Tax Expense,1143833.89,2024-02-05
Net Profit,1938987.47,2024-02-05
