Account,Amount,Date
Cash Flow From Operating Activities,,2024-02-04
Net Profit ,143922.03,2024-02-04
Depreciation ,96479.34,2024-02-04
(Increase) Decrease in Accounts Receivable ,-335967.05,2024-02-04
(Increase) Decrease in Interest Receivable ,-7775.44,2024-02-04
(Increase) Decrease in Inventory ,-7783800.00,2024-02-04
Increase (Decrease) in Accounts Payable ,3333720.00,2024-02-04
Increase (Decrease) in Tax Payable ,42584.04,2024-02-04
Net Cash Flow from Operating Activities ,-4510837.08,2024-02-04
Cash Flow from Investing Activities,,2024-02-04
Purchase of Fixed Assets ,251793.02,2024-02-04
Net Cash Flow from Investing Activities ,-251793.02,2024-02-04
Cash and Cash Equivalents,,2024-02-04
Beginning Balance ,8000000.00,2024-02-04
Ending Balance ,3237369.90,2024-02-04
Net Increase ,-4762630.10,2024-02-04
