Account,Initial_amount,Initial_date,End_amount,End_date
Cash on Hand,3000000.00,2023-12-31,1254762.92,2024-02-04
Bank Deposits,5000000.00,2023-12-31,1982606.98,2024-02-04
Interest Receivable,0.00,2023-12-31,7775.44,2024-02-04
Accounts Receivable,0.00,2023-12-31,335967.05,2024-02-04
Inventory,0.00,2023-12-31,7783800.00,2024-02-04
Total Current Assets,8000000.00,2023-12-31,11364912.39,2024-02-04
Fixed Assets,8000000.00,2023-12-31,8251793.02,2024-02-04
Accumulated Depreciation,0.00,2023-12-31,96479.34,2024-02-04
Total Non-current Assets,8000000.00,2023-12-31,8155313.68,2024-02-04
Total Assets,16000000.00,2023-12-31,19520226.07,2024-02-04
Accounts Payable,0.00,2023-12-31,3333720.00,2024-02-04
Taxes Payable,0.00,2023-12-31,42584.04,2024-02-04
Total Current Liabilities,0.00,2023-12-31,3376304.04,2024-02-04
Paid-in Capital,16000000.00,2023-12-31,16000000.00,2024-02-04
Retained Earnings,0.00,2023-12-31,143922.03,2024-02-04
Total Owner's Equity,16000000.00,2023-12-31,16143922.03,2024-02-04
Total Liabilities and Owner's Equity,16000000.00,2023-12-31,19520226.07,2024-02-04
