Account,Initial_amount,Initial_date,End_amount,End_date
Cash on Hand,3000000.00,2023-12-31,2339224.10,2024-02-05
Bank Deposits,5000000.00,2023-12-31,4292000.00,2024-02-05
Interest Receivable,0.00,2023-12-31,14796.43,2024-02-05
Accounts Receivable,0.00,2023-12-31,2902136.39,2024-02-05
Inventory,0.00,2023-12-31,343000.00,2024-02-05
Total Current Assets,8000000.00,2023-12-31,9891156.92,2024-02-05
Fixed Assets,5000000.00,2023-12-31,5000000.00,2024-02-05
Accumulated Depreciation,0.00,2023-12-31,91492.31,2024-02-05
Total Non-current Assets,5000000.00,2023-12-31,4908507.69,2024-02-05
Total Assets,13000000.00,2023-12-31,14799664.61,2024-02-05
Accounts Payable,0.00,2023-12-31,462000.00,2024-02-05
Taxes Payable,0.00,2023-12-31,169880.98,2024-02-05
Total Current Liabilities,0.00,2023-12-31,631880.98,2024-02-05
Paid-in Capital,13000000.00,2023-12-31,13000000.00,2024-02-05
Retained Earnings,0.00,2023-12-31,1167783.63,2024-02-05
Total Owner's Equity,13000000.00,2023-12-31,14167783.63,2024-02-05
Total Liabilities and Owner's Equity,13000000.00,2023-12-31,14799664.61,2024-02-05
