Account,Amount,Date
Main Business Revenue,3397619.40,2024-02-05
Total Revenue,3397619.40,2024-02-05
Cost of Goods Sold,1337000.00,2024-02-05
Total Cost,1337000.00,2024-02-05
Gross Profit,2060619.40,2024-02-05
Administrative Expenses,271886.07,2024-02-05
Selling Expenses,319828.12,2024-02-05
Depreciation,91492.31,2024-02-05
Financial Expenses,54544.72,2024-02-05
Total Expenses,737751.22,2024-02-05
Interest Income,14796.43,2024-02-05
Profit Before Tax,1337664.61,2024-02-05
Tax Expense,169880.98,2024-02-05
Net Profit,1167783.63,2024-02-05
