id,type,date,recorded_date,amount,recorded_amount,approver,preparer,payment/receipt_status,payment_method,cost_per_unit,supplier_id,supplier_name,product_id,product_name,quantity,unit_price,receive_method,customer_id,tax_amount,after_tax_amount,cost_amount,profit
Initial20231231001,Cash deposit,2023-12-31,2023-12-31,3000000.0,3000000.0,,,,,,,,,,,,,,,,,
Initial20231231001,Bank deposit,2023-12-31,2023-12-31,5000000.0,5000000.0,,,,,,,,,,,,,,,,,
Initial20231231001,Fixed Assets,2023-12-31,2023-12-31,5000000.0,5000000.0,,,,,,,,,,,,,,,,,
Purchase20231231001,Purchase,2023-12-31,2023-12-31,300000.0,300000.0,Director,Staff,Paid,Bank Transfer,100000.0,S009,Supplier 9,S004,Enterprise Solution,3.0,100000.0,,,,,,
Expense20240101001,Administrative Expenses,2024-01-01,2024-01-01,7069.68,7069.68,Director,Staff,Paid,Cash,,,,,,,,,,,,,
Expense20240101001,Administrative Expenses,2024-01-01,2024-01-01,13381.35,13381.35,Director,Staff,Paid,Cash,,,,,,,,,,,,,
Depreciation20240101001,Depreciation,2024-01-01,2024-01-01,45747.380000000005,45747.380000000005,,,,,,,,,,,,,,,,,
Interest20240101001,Interest Receivables,2024-01-01,2024-01-01,418.29999999999995,418.29999999999995,,,Unpaid,,,,,,,,,Interest receviable,,,,,
Sale20240102001,Sale,2024-01-02,2024-01-02,284230.98,284230.98,,,Unpaid,,100000.0,,,S004,Enterprise Solution,1.0,284230.98,Account Receviable,C020,14211.55,270019.43,100000.0,184230.97999999998
Sale20240102002,Sale,2024-01-02,2024-01-02,274894.93,274894.93,,,Unpaid,,100000.0,,,S004,Enterprise Solution,1.0,274894.93,Account Receviable,C001,13744.75,261150.18,100000.0,174894.93
Expense20240102001,Administrative Expenses,2024-01-02,2024-01-02,18522.55,18522.55,Director,Staff,Paid,Cash,,,,,,,,,,,,,
Expense20240102001,Sales Expenses,2024-01-02,2024-01-02,13305.95,13305.95,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,
Interest20240102002,Interest Receivables,2024-01-02,2024-01-02,418.29999999999995,418.29999999999995,,,Unpaid,,,,,,,,,Interest receviable,,,,,
Sale20240103004,Sale,2024-01-03,2024-01-03,287021.71,287021.71,,,Unpaid,,100000.0,,,S004,Enterprise Solution,1.0,287021.71,Account Receviable,C002,14351.09,272670.62,100000.0,187021.71000000002
Expense20240103001,Sales Expenses,2024-01-03,2024-01-03,11861.78,11861.78,Director,Staff,Paid,Cash,,,,,,,,,,,,,
Interest20240103003,Interest Receivables,2024-01-03,2024-01-03,418.29999999999995,418.29999999999995,,,Unpaid,,,,,,,,,Interest receviable,,,,,
Purchase20231231002,Purchase,2023-12-31,2023-12-31,2000.0,2000.0,Director,Supervisor,Paid,Bank Transfer,1000.0,S008,Supplier 8,S001,Basic Consulting,2.0,1000.0,,,,,,
Expense20240104001,Administrative Expenses,2024-01-04,2024-01-04,7550.68,7550.68,Director,Staff,Paid,Cash,,,,,,,,,,,,,
Interest20240104004,Interest Receivables,2024-01-04,2024-01-04,418.12199999999996,418.12199999999996,,,Unpaid,,,,,,,,,Interest receviable,,,,,
Purchase20231231003,Purchase,2023-12-31,2023-12-31,300000.0,300000.0,Director,Staff,Paid,Cash,100000.0,S001,Supplier 1,S004,Enterprise Solution,3.0,100000.0,,,,,,
Expense20240105001,Financial Expenses,2024-01-05,2024-01-05,7928.54,7928.54,Director,Staff,Paid,Cash,,,,,,,,,,,,,
Interest20240105005,Interest Receivables,2024-01-05,2024-01-05,418.12199999999996,418.12199999999996,,,Unpaid,,,,,,,,,Interest receviable,,,,,
Sale20240106006,Sale,2024-01-06,2024-01-06,180661.23,180661.23,,,Unpaid,,100000.0,,,S004,Enterprise Solution,1.0,180661.23,Account Receviable,C005,9033.06,171628.17,100000.0,80661.23000000001
Purchase20231231004,Purchase,2023-12-31,2023-12-31,1000.0,1000.0,Director,Supervisor,Paid,Bank Transfer,1000.0,S007,Supplier 7,S001,Basic Consulting,1.0,1000.0,,,,,,
Purchase20231231005,Purchase,2023-12-31,2023-12-31,200000.0,200000.0,Director,Supervisor,Paid,Cash,100000.0,S007,Supplier 7,S004,Enterprise Solution,2.0,100000.0,,,,,,
Expense20240106001,Sales Expenses,2024-01-06,2024-01-06,13930.48,13930.48,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,
Expense20240106001,Administrative Expenses,2024-01-06,2024-01-06,17921.98,17921.98,Director,Staff,Paid,Cash,,,,,,,,,,,,,
Interest20240106006,Interest Receivables,2024-01-06,2024-01-06,418.03299999999996,418.03299999999996,,,Unpaid,,,,,,,,,Interest receviable,,,,,
Sale20240107008,Sale,2024-01-07,2024-01-07,2041.74,2041.74,,,Unpaid,,1000.0,,,S001,Basic Consulting,1.0,2041.74,Account Receviable,C020,102.09,1939.65,1000.0,1041.74
Expense20240107001,Sales Expenses,2024-01-07,2024-01-07,12925.57,12925.57,Director,Staff,Paid,Cash,,,,,,,,,,,,,
Interest20240107007,Interest Receivables,2024-01-07,2024-01-07,418.03299999999996,418.03299999999996,,,Unpaid,,,,,,,,,Interest receviable,,,,,
Sale20240108010,Sale,2024-01-08,2024-01-08,285922.71,285922.71,,,Paid,,100000.0,,,S004,Enterprise Solution,1.0,285922.71,Cash,C019,14296.14,271626.57,100000.0,185922.71000000002
Expense20240108001,Sales Expenses,2024-01-08,2024-01-08,8666.24,8666.24,Director,Staff,Paid,Cash,,,,,,,,,,,,,
Expense20240108001,Administrative Expenses,2024-01-08,2024-01-08,16893.65,16893.65,Director,Staff,Paid,Cash,,,,,,,,,,,,,
Interest20240108008,Interest Receivables,2024-01-08,2024-01-08,418.03299999999996,418.03299999999996,,,Unpaid,,,,,,,,,Interest receviable,,,,,
Expense20240109001,Administrative Expenses,2024-01-09,2024-01-09,9840.4,9840.4,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,
Interest20240109009,Interest Receivables,2024-01-09,2024-01-09,418.03299999999996,418.03299999999996,,,Unpaid,,,,,,,,,Interest receviable,,,,,
Sale20240110012,Sale,2024-01-10,2024-01-10,1925.47,1925.47,,,Unpaid,,1000.0,,,S001,Basic Consulting,1.0,1925.47,Account Receviable,C017,96.27,1829.2,1000.0,925.47
Sale20240110013,Sale,2024-01-10,2024-01-10,295859.81,295859.81,,,Unpaid,,100000.0,,,S004,Enterprise Solution,1.0,295859.81,Account Receviable,C012,14792.99,281066.82,100000.0,195859.81
Expense20240110001,Financial Expenses,2024-01-10,2024-01-10,9001.74,9001.74,Director,Staff,Paid,Cash,,,,,,,,,,,,,
Expense20240110001,Sales Expenses,2024-01-10,2024-01-10,14246.91,14246.91,Director,Staff,Paid,Cash,,,,,,,,,,,,,
Interest20240110010,Interest Receivables,2024-01-10,2024-01-10,418.03299999999996,418.03299999999996,,,Unpaid,,,,,,,,,Interest receviable,,,,,
Sale20240111015,Sale,2024-01-11,2024-01-11,2212.39,2212.39,,,Unpaid,,1000.0,,,S001,Basic Consulting,1.0,2212.39,Account Receviable,C001,110.62,2101.77,1000.0,1212.3899999999999
Sale20240111016,Sale,2024-01-11,2024-01-11,277286.94,277286.94,,,Unpaid,,100000.0,,,S004,Enterprise Solution,1.0,277286.94,Account Receviable,C010,13864.35,263422.59,100000.0,177286.94
Sale20240111017,Sale,2024-01-11,2024-01-11,193204.06,193204.06,,,Paid,,100000.0,,,S004,Enterprise Solution,1.0,193204.06,Cash,C007,9660.2,183543.86,100000.0,93204.06
Purchase20231231006,Purchase,2023-12-31,2023-12-31,5000.0,5000.0,Director,Supervisor,Unpaid,Account Payable,5000.0,S007,Supplier 7,S002,Standard Consulting,1.0,5000.0,,,,,,
Expense20240111001,Financial Expenses,2024-01-11,2024-01-11,7754.91,7754.91,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,
Interest20240111011,Interest Receivables,2024-01-11,2024-01-11,418.03299999999996,418.03299999999996,,,Unpaid,,,,,,,,,Interest receviable,,,,,
Sale20240112018,Sale,2024-01-12,2024-01-12,13759.13,13759.13,,,Unpaid,,5000.0,,,S002,Standard Consulting,1.0,13759.13,Account Receviable,C002,687.96,13071.17,5000.0,8759.13
Expense20240112001,Sales Expenses,2024-01-12,2024-01-12,16705.92,16705.92,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,
