Account,Amount,Date
Cash Flow From Operating Activities,,2024-02-05
Net Profit ,1167783.63,2024-02-05
Depreciation ,91492.31,2024-02-05
(Increase) Decrease in Accounts Receivable ,-2902136.39,2024-02-05
(Increase) Decrease in Interest Receivable ,-14796.43,2024-02-05
(Increase) Decrease in Inventory ,-343000.00,2024-02-05
Increase (Decrease) in Accounts Payable ,462000.00,2024-02-05
Increase (Decrease) in Tax Payable ,169880.98,2024-02-05
Net Cash Flow from Operating Activities ,-1368775.90,2024-02-05
Cash Flow from Investing Activities,,2024-02-05
Purchase of Fixed Assets ,0.00,2024-02-05
Net Cash Flow from Investing Activities ,-0.00,2024-02-05
Cash and Cash Equivalents,,2024-02-05
Beginning Balance ,8000000.00,2024-02-05
Ending Balance ,6631224.10,2024-02-05
Net Increase ,-1368775.90,2024-02-05
