Account,Amount,Date
Cash Flow From Operating Activities,,2024-02-03
Net Profit ,111731.83,2024-02-03
Depreciation ,117540.62,2024-02-03
(Increase) Decrease in Accounts Receivable ,-248540.09,2024-02-03
(Increase) Decrease in Interest Receivable ,-5264.70,2024-02-03
(Increase) Decrease in Inventory ,-7869940.00,2024-02-03
Increase (Decrease) in Accounts Payable ,3350120.00,2024-02-03
Increase (Decrease) in Tax Payable ,39599.66,2024-02-03
Net Cash Flow from Operating Activities ,-4504752.68,2024-02-03
Cash Flow from Investing Activities,,2024-02-03
Purchase of Fixed Assets ,2496137.92,2024-02-03
Net Cash Flow from Investing Activities ,-2496137.92,2024-02-03
Cash and Cash Equivalents,,2024-02-03
Beginning Balance ,8000000.00,2024-02-03
Ending Balance ,999109.40,2024-02-03
Net Increase ,-7000890.60,2024-02-03
