Account,Initial_amount,Initial_date,End_amount,End_date
Cash on Hand,3000000.00,2023-12-31,927447.32,2024-02-03
Bank Deposits,5000000.00,2023-12-31,71662.08,2024-02-03
Interest Receivable,0.00,2023-12-31,5264.70,2024-02-03
Accounts Receivable,0.00,2023-12-31,248540.09,2024-02-03
Inventory,0.00,2023-12-31,7869940.00,2024-02-03
Total Current Assets,8000000.00,2023-12-31,9122854.19,2024-02-03
Fixed Assets,8000000.00,2023-12-31,10496137.92,2024-02-03
Accumulated Depreciation,0.00,2023-12-31,117540.62,2024-02-03
Total Non-current Assets,8000000.00,2023-12-31,10378597.30,2024-02-03
Total Assets,16000000.00,2023-12-31,19501451.49,2024-02-03
Accounts Payable,0.00,2023-12-31,3350120.00,2024-02-03
Taxes Payable,0.00,2023-12-31,39599.66,2024-02-03
Total Current Liabilities,0.00,2023-12-31,3389719.66,2024-02-03
Paid-in Capital,16000000.00,2023-12-31,16000000.00,2024-02-03
Retained Earnings,0.00,2023-12-31,111731.83,2024-02-03
Total Owner's Equity,16000000.00,2023-12-31,16111731.83,2024-02-03
Total Liabilities and Owner's Equity,16000000.00,2023-12-31,19501451.49,2024-02-03
