Account,Amount,Date
Cash Flow From Operating Activities,,2024-02-01
Net Profit ,99532.29,2024-02-01
Depreciation ,132103.78,2024-02-01
(Increase) Decrease in Accounts Receivable ,-335639.38,2024-02-01
(Increase) Decrease in Interest Receivable ,-6494.02,2024-02-01
(Increase) Decrease in Inventory ,-7446940.00,2024-02-01
Increase (Decrease) in Accounts Payable ,5596070.00,2024-02-01
Increase (Decrease) in Tax Payable ,41840.70,2024-02-01
Net Cash Flow from Operating Activities ,-1919526.63,2024-02-01
Cash Flow from Investing Activities,,2024-02-01
Purchase of Fixed Assets ,3415664.34,2024-02-01
Net Cash Flow from Investing Activities ,-3415664.34,2024-02-01
Cash and Cash Equivalents,,2024-02-01
Beginning Balance ,8000000.00,2024-02-01
Ending Balance ,2664809.03,2024-02-01
Net Increase ,-5335190.97,2024-02-01
