Account,Initial_amount,Initial_date,End_amount,End_date
Cash on Hand,3000000.00,2023-12-31,2105753.37,2024-02-01
Bank Deposits,5000000.00,2023-12-31,559055.66,2024-02-01
Interest Receivable,0.00,2023-12-31,6494.02,2024-02-01
Accounts Receivable,0.00,2023-12-31,335639.38,2024-02-01
Inventory,0.00,2023-12-31,7446940.00,2024-02-01
Total Current Assets,8000000.00,2023-12-31,10453882.43,2024-02-01
Fixed Assets,8000000.00,2023-12-31,11415664.34,2024-02-01
Accumulated Depreciation,0.00,2023-12-31,132103.78,2024-02-01
Total Non-current Assets,8000000.00,2023-12-31,11283560.56,2024-02-01
Total Assets,16000000.00,2023-12-31,21737442.99,2024-02-01
Accounts Payable,0.00,2023-12-31,5596070.00,2024-02-01
Taxes Payable,0.00,2023-12-31,41840.70,2024-02-01
Total Current Liabilities,0.00,2023-12-31,5637910.70,2024-02-01
Paid-in Capital,16000000.00,2023-12-31,16000000.00,2024-02-01
Retained Earnings,0.00,2023-12-31,99532.29,2024-02-01
Total Owner's Equity,16000000.00,2023-12-31,16099532.29,2024-02-01
Total Liabilities and Owner's Equity,16000000.00,2023-12-31,21737442.99,2024-02-01
