Account,Initial_amount,Initial_date,End_amount,End_date
Cash on Hand,3000000.00,2023-12-31,3537257.19,2024-02-05
Bank Deposits,5000000.00,2023-12-31,4579000.00,2024-02-05
Interest Receivable,0.00,2023-12-31,14869.76,2024-02-05
Accounts Receivable,0.00,2023-12-31,1716911.17,2024-02-05
Inventory,0.00,2023-12-31,174000.00,2024-02-05
Total Current Assets,8000000.00,2023-12-31,10022038.12,2024-02-05
Fixed Assets,5000000.00,2023-12-31,5000000.00,2024-02-05
Accumulated Depreciation,0.00,2023-12-31,91503.06,2024-02-05
Total Non-current Assets,5000000.00,2023-12-31,4908496.94,2024-02-05
Total Assets,13000000.00,2023-12-31,14930535.06,2024-02-05
Accounts Payable,0.00,2023-12-31,816000.00,2024-02-05
Taxes Payable,0.00,2023-12-31,151271.87,2024-02-05
Total Current Liabilities,0.00,2023-12-31,967271.87,2024-02-05
Paid-in Capital,13000000.00,2023-12-31,13000000.00,2024-02-05
Retained Earnings,0.00,2023-12-31,963263.19,2024-02-05
Total Owner's Equity,13000000.00,2023-12-31,13963263.19,2024-02-05
Total Liabilities and Owner's Equity,13000000.00,2023-12-31,14930535.06,2024-02-05
