id,type,date,recorded_date,amount,recorded_amount,approver,preparer,payment/receipt_status,payment_method,cost_per_unit,supplier_id,supplier_name,product_id,product_name,quantity,unit_price,receive_method,customer_id,tax_amount,after_tax_amount,cost_amount,profit
Initial20231231001,Cash deposit,2023-12-31,2023-12-31,3000000.0,3000000.0,,,,,,,,,,,,,,,,,
Initial20231231001,Bank deposit,2023-12-31,2023-12-31,5000000.0,5000000.0,,,,,,,,,,,,,,,,,
Initial20231231001,Fixed Assets,2023-12-31,2023-12-31,5000000.0,5000000.0,,,,,,,,,,,,,,,,,
Purchase20231231001,Purchase,2023-12-31,2023-12-31,100000.0,100000.0,Director,Staff,Paid,Bank Transfer,100000.0,S001,Supplier 1,S004,Enterprise Solution,1.0,100000.0,,,,,,
Purchase20231231002,Purchase,2023-12-31,2023-12-31,60000.0,60000.0,Director,Senior Staff,Paid,Bank Transfer,20000.0,S002,Supplier 2,S003,Premium Consulting,3.0,20000.0,,,,,,
Expense20240101001,Administrative Expenses,2024-01-01,2024-01-01,11406.69,11406.69,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,
Depreciation20240101001,Depreciation,2024-01-01,2024-01-01,45752.22,45752.22,,,,,,,,,,,,,,,,,
Interest20240101001,Interest Receivables,2024-01-01,2024-01-01,430.76,430.76,,,Unpaid,,,,,,,,,Interest receviable,,,,,
Sale20240102001,Sale,2024-01-02,2024-01-02,187276.53,187276.53,,,Unpaid,,100000.0,,,S004,Enterprise Solution,1.0,187276.53,Account Receviable,C015,9363.83,177912.7,100000.0,87276.53
Sale20240102002,Sale,2024-01-02,2024-01-02,38382.28,38382.28,,,Unpaid,,20000.0,,,S003,Premium Consulting,1.0,38382.28,Account Receviable,C004,1919.11,36463.17,20000.0,18382.28
Expense20240102001,Administrative Expenses,2024-01-02,2024-01-02,2296.4,2296.4,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,
Expense20240102001,Financial Expenses,2024-01-02,2024-01-02,17950.19,17950.19,Director,Staff,Paid,Cash,,,,,,,,,,,,,
Interest20240102002,Interest Receivables,2024-01-02,2024-01-02,430.76,430.76,,,Unpaid,,,,,,,,,Interest receviable,,,,,
Sale20240103003,Sale,2024-01-03,2024-01-03,49544.93,49544.93,,,Unpaid,,20000.0,,,S003,Premium Consulting,1.0,49544.93,Account Receviable,C011,2477.25,47067.68,20000.0,29544.93
Sale20240103004,Sale,2024-01-03,2024-01-03,42123.04,42123.04,,,Unpaid,,20000.0,,,S003,Premium Consulting,1.0,42123.04,Account Receviable,C001,2106.15,40016.89,20000.0,22123.04
Purchase20231231003,Purchase,2023-12-31,2023-12-31,15000.0,15000.0,Director,Supervisor,Paid,Bank Transfer,5000.0,S003,Supplier 3,S002,Standard Consulting,3.0,5000.0,,,,,,
Purchase20231231004,Purchase,2023-12-31,2023-12-31,100000.0,100000.0,Director,Senior Staff,Paid,Cash,100000.0,S003,Supplier 3,S004,Enterprise Solution,1.0,100000.0,,,,,,
Expense20240103001,Sales Expenses,2024-01-03,2024-01-03,15779.23,15779.23,Director,Staff,Paid,Cash,,,,,,,,,,,,,
Interest20240103003,Interest Receivables,2024-01-03,2024-01-03,429.42499999999995,429.42499999999995,,,Unpaid,,,,,,,,,Interest receviable,,,,,
Purchase20231231005,Purchase,2023-12-31,2023-12-31,100000.0,100000.0,Director,Staff,Paid,Bank Transfer,100000.0,S001,Supplier 1,S004,Enterprise Solution,1.0,100000.0,,,,,,
Expense20240104001,Sales Expenses,2024-01-04,2024-01-04,4102.96,4102.96,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,
Expense20240104001,Sales Expenses,2024-01-04,2024-01-04,3093.29,3093.29,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,
Interest20240104004,Interest Receivables,2024-01-04,2024-01-04,420.525,420.525,,,Unpaid,,,,,,,,,Interest receviable,,,,,
Purchase20231231006,Purchase,2023-12-31,2023-12-31,100000.0,100000.0,Director,Supervisor,Unpaid,Account Payable,100000.0,S005,Supplier 5,S004,Enterprise Solution,1.0,100000.0,,,,,,
Expense20240105001,Administrative Expenses,2024-01-05,2024-01-05,4123.93,4123.93,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,
Interest20240105005,Interest Receivables,2024-01-05,2024-01-05,420.525,420.525,,,Unpaid,,,,,,,,,Interest receviable,,,,,
Sale20240106008,Sale,2024-01-06,2024-01-06,10930.08,10930.08,,,Paid,,5000.0,,,S002,Standard Consulting,1.0,10930.08,Cash,C004,546.5,10383.58,5000.0,5930.08
Sale20240106009,Sale,2024-01-06,2024-01-06,13508.51,13508.51,,,Unpaid,,5000.0,,,S002,Standard Consulting,1.0,13508.51,Account Receviable,C003,675.43,12833.08,5000.0,8508.51
Sale20240106010,Sale,2024-01-06,2024-01-06,13808.73,13808.73,,,Unpaid,,5000.0,,,S002,Standard Consulting,1.0,13808.73,Account Receviable,C012,690.44,13118.29,5000.0,8808.73
Expense20240106001,Sales Expenses,2024-01-06,2024-01-06,6637.42,6637.42,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,
Interest20240106006,Interest Receivables,2024-01-06,2024-01-06,420.525,420.525,,,Unpaid,,,,,,,,,Interest receviable,,,,,
Purchase20231231007,Purchase,2023-12-31,2023-12-31,5000.0,5000.0,Director,Senior Staff,Paid,Bank Transfer,5000.0,S001,Supplier 1,S002,Standard Consulting,1.0,5000.0,,,,,,
Purchase20231231008,Purchase,2023-12-31,2023-12-31,40000.0,40000.0,Director,Senior Staff,Paid,Bank Transfer,20000.0,S004,Supplier 4,S003,Premium Consulting,2.0,20000.0,,,,,,
Expense20240107001,Sales Expenses,2024-01-07,2024-01-07,8026.41,8026.41,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,
Expense20240107001,Administrative Expenses,2024-01-07,2024-01-07,14216.99,14216.99,Director,Staff,Paid,Cash,,,,,,,,,,,,,
Interest20240107007,Interest Receivables,2024-01-07,2024-01-07,416.52,416.52,,,Unpaid,,,,,,,,,Interest receviable,,,,,
Sale20240108013,Sale,2024-01-08,2024-01-08,54853.57,54853.57,,,Paid,,20000.0,,,S003,Premium Consulting,1.0,54853.57,Cash,C006,2742.68,52110.89,20000.0,34853.57
Sale20240108014,Sale,2024-01-08,2024-01-08,12664.83,12664.83,,,Unpaid,,5000.0,,,S002,Standard Consulting,1.0,12664.83,Account Receviable,C006,633.24,12031.59,5000.0,7664.83
Purchase20231231009,Purchase,2023-12-31,2023-12-31,15000.0,15000.0,Director,Supervisor,Paid,Cash,5000.0,S003,Supplier 3,S002,Standard Consulting,3.0,5000.0,,,,,,
Expense20240108001,Sales Expenses,2024-01-08,2024-01-08,12770.5,12770.5,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,
Interest20240108008,Interest Receivables,2024-01-08,2024-01-08,416.52,416.52,,,Unpaid,,,,,,,,,Interest receviable,,,,,
Sale20240109016,Sale,2024-01-09,2024-01-09,199566.18,199566.18,,,Paid,,100000.0,,,S004,Enterprise Solution,1.0,199566.18,Cash,C016,9978.31,189587.87,100000.0,99566.18
Purchase20231231010,Purchase,2023-12-31,2023-12-31,300000.0,300000.0,Director,Staff,Unpaid,Account Payable,100000.0,S005,Supplier 5,S004,Enterprise Solution,3.0,100000.0,,,,,,
Expense20240109001,Sales Expenses,2024-01-09,2024-01-09,11640.26,11640.26,Director,Staff,Paid,Cash,,,,,,,,,,,,,
Expense20240109001,Sales Expenses,2024-01-09,2024-01-09,2017.12,2017.12,Director,Staff,Paid,Cash,,,,,,,,,,,,,
Interest20240109009,Interest Receivables,2024-01-09,2024-01-09,416.52,416.52,,,Unpaid,,,,,,,,,Interest receviable,,,,,
Sale20240110019,Sale,2024-01-10,2024-01-10,11979.62,11979.62,,,Paid,,5000.0,,,S002,Standard Consulting,1.0,11979.62,Cash,C014,598.98,11380.64,5000.0,6979.620000000001
Purchase20231231011,Purchase,2023-12-31,2023-12-31,10000.0,10000.0,Director,Senior Staff,Paid,Bank Transfer,5000.0,S007,Supplier 7,S002,Standard Consulting,2.0,5000.0,,,,,,
Purchase20231231012,Purchase,2023-12-31,2023-12-31,40000.0,40000.0,Director,Supervisor,Paid,Bank Transfer,20000.0,S006,Supplier 6,S003,Premium Consulting,2.0,20000.0,,,,,,
