Account,Amount,Date
Cash Flow From Operating Activities,,2024-02-05
Net Profit ,963263.19,2024-02-05
Depreciation ,91503.06,2024-02-05
(Increase) Decrease in Accounts Receivable ,-1716911.17,2024-02-05
(Increase) Decrease in Interest Receivable ,-14869.76,2024-02-05
(Increase) Decrease in Inventory ,-174000.00,2024-02-05
Increase (Decrease) in Accounts Payable ,816000.00,2024-02-05
Increase (Decrease) in Tax Payable ,151271.87,2024-02-05
Net Cash Flow from Operating Activities ,116257.19,2024-02-05
Cash Flow from Investing Activities,,2024-02-05
Purchase of Fixed Assets ,0.00,2024-02-05
Net Cash Flow from Investing Activities ,-0.00,2024-02-05
Cash and Cash Equivalents,,2024-02-05
Beginning Balance ,8000000.00,2024-02-05
Ending Balance ,8116257.19,2024-02-05
Net Increase ,116257.19,2024-02-05
