Account,Amount,Date
Main Business Revenue,3025437.82,2024-02-05
Total Revenue,3025437.82,2024-02-05
Cost of Goods Sold,1312000.00,2024-02-05
Total Cost,1312000.00,2024-02-05
Gross Profit,1713437.82,2024-02-05
Administrative Expenses,126790.73,2024-02-05
Selling Expenses,345311.74,2024-02-05
Depreciation,91503.06,2024-02-05
Financial Expenses,50166.99,2024-02-05
Total Expenses,613772.52,2024-02-05
Interest Income,14869.76,2024-02-05
Profit Before Tax,1114535.06,2024-02-05
Tax Expense,151271.87,2024-02-05
Net Profit,963263.19,2024-02-05
