id,recorded_type,recorded_date,recorded_amount,recorded_approver,recorded_preparer,recorded_payment/receipt_status,recorded_payment_method,recorded_cost_per_unit,supplier_id,supplier_name,product_id,recorded_product_name,recorded_quantity,recorded_unit_price,recorded_receive_method,recorded_customer_id,recorded_tax_amount,recorded_after_tax_amount,recorded_cost_amount,recorded_profit,invoice,risk_issues
Initial20231231001,Cash deposit,2023-12-31,3000000.0,,,,,,,,,,,,,,,,,,"On December 31, 2023, an invoice was issued for a Cash deposit, totaling $3000000.00.",
Initial20231231001,Bank deposit,2023-12-31,5000000.0,,,,,,,,,,,,,,,,,,"On December 31, 2023, an invoice was issued for a Bank deposit, totaling $5000000.00.",
Initial20231231001,Fixed Assets,2023-12-31,5000000.0,,,,,,,,,,,,,,,,,,"On December 31, 2023, an invoice was issued for a Fixed Assets, totaling $5000000.00.",
Purchase20231231001,Purchase,2023-12-31,100000.0,Director,Staff,Paid,Bank Transfer,100000.0,S001,Supplier 1,S004,Enterprise Solution,1.0,100000.0,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 1.0 units at a unit price of $100000.00, totaling $100000.00. The payment_method of this transaction was bank transfer, and this transaction was paid. This transaction was prepared by Staff, and the approver is Director. The supplier ID is S001, and the supplier name is Supplier 1.",
Purchase20231231002,Purchase,2023-12-31,60000.0,Director,Senior Staff,Paid,Bank Transfer,20000.0,S002,Supplier 2,S003,Premium Consulting,3.0,20000.0,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 3.0 units at a unit price of $20000.00, totaling $60000.00. The payment_method of this transaction was bank transfer, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director. The supplier ID is S002, and the supplier name is Supplier 2.",
Expense20240101001,Administrative Expenses,2024-01-01,11406.69,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,"On January 01, 2024, an invoice was issued for a Administrative Expenses, totaling $11406.69. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Depreciation20240101001,Depreciation,2024-01-01,45752.22,,,,,,,,,,,,,,,,,,"On January 01, 2024, an invoice was issued for a Depreciation, totaling $45752.22.",
Interest20240101001,Interest Receivables,2024-01-01,430.76,,,Unpaid,,,,,,,,,Interest receviable,,,,,,"On January 01, 2024, an invoice was issued for a Interest Receivables, totaling $430.76. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240102001,Sale,2024-01-02,187276.53,,,Unpaid,,100000.0,,,S004,Enterprise Solution,1.0,187276.53,Account Receviable,C015,9363.83,177912.7,100000.0,87276.53,"On January 02, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $187276.53, totaling $187276.53. The cost amount for this transaction was $100000.00, with a tax amount of $9363.83, leading to a total amount due of $177912.70. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Sale20240102002,Sale,2024-01-02,38382.28,,,Unpaid,,20000.0,,,S003,Premium Consulting,1.0,38382.28,Account Receviable,C004,1919.11,36463.17,20000.0,18382.28,"On January 02, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $38382.28, totaling $38382.28. The cost amount for this transaction was $20000.00, with a tax amount of $1919.11, leading to a total amount due of $36463.17. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
