Account,Initial_amount,Initial_date,End_amount,End_date
Cash on Hand,5000000.00,2023-12-31,-1980427.60,2024-02-05
Bank Deposits,15000000.00,2023-12-31,385137.69,2024-02-05
Interest Receivable,0.00,2023-12-31,18176.52,2024-02-05
Accounts Receivable,0.00,2023-12-31,12792007.89,2024-02-05
Inventory,0.00,2023-12-31,9100000.00,2024-02-05
Total Current Assets,20000000.00,2023-12-31,20314894.50,2024-02-05
Fixed Assets,8000000.00,2023-12-31,10670827.47,2024-02-05
Accumulated Depreciation,0.00,2023-12-31,127633.22,2024-02-05
Total Non-current Assets,8000000.00,2023-12-31,10543194.25,2024-02-05
Total Assets,28000000.00,2023-12-31,30858088.75,2024-02-05
Accounts Payable,0.00,2023-12-31,0.00,2024-02-05
Taxes Payable,0.00,2023-12-31,1015922.54,2024-02-05
Total Current Liabilities,0.00,2023-12-31,1015922.54,2024-02-05
Paid-in Capital,28000000.00,2023-12-31,28000000.00,2024-02-05
Retained Earnings,0.00,2023-12-31,1842166.21,2024-02-05
Total Owner's Equity,28000000.00,2023-12-31,29842166.21,2024-02-05
Total Liabilities and Owner's Equity,28000000.00,2023-12-31,30858088.75,2024-02-05
