Account,Amount,Date
Cash Flow From Operating Activities,,2024-02-05
Net Profit ,1842166.21,2024-02-05
Depreciation ,127633.22,2024-02-05
(Increase) Decrease in Accounts Receivable ,-12792007.89,2024-02-05
(Increase) Decrease in Interest Receivable ,-18176.52,2024-02-05
(Increase) Decrease in Inventory ,-9100000.00,2024-02-05
Increase (Decrease) in Accounts Payable ,0.00,2024-02-05
Increase (Decrease) in Tax Payable ,1015922.54,2024-02-05
Net Cash Flow from Operating Activities ,-18924462.44,2024-02-05
Cash Flow from Investing Activities,,2024-02-05
Purchase of Fixed Assets ,2670827.47,2024-02-05
Net Cash Flow from Investing Activities ,-2670827.47,2024-02-05
Cash and Cash Equivalents,,2024-02-05
Beginning Balance ,20000000.00,2024-02-05
Ending Balance ,-1595289.91,2024-02-05
Net Increase ,-21595289.91,2024-02-05
