id,recorded_type,recorded_date,recorded_amount,recorded_cost_per_unit,recorded_approver,recorded_preparer,recorded_payment/receipt_status,recorded_payment_method,supplier_id,supplier_name,product_id,recorded_product_name,recorded_quantity,recorded_unit_price,recorded_receive_method,recorded_customer_id,recorded_tax_amount,recorded_after_tax_amount,recorded_cost_amount,recorded_profit,asset_name,asset_type,invoice,risk_issues
Initial20231231001,Cash deposit,2023-12-31,5000000.0,,,,,,,,,,,,,,,,,,,,"On December 31, 2023, an invoice was issued for a Cash deposit, totaling $5000000.00.",
Initial20231231001,Bank deposit,2023-12-31,15000000.0,,,,,,,,,,,,,,,,,,,,"On December 31, 2023, an invoice was issued for a Bank deposit, totaling $15000000.00.",
Initial20231231001,Fixed Assets,2023-12-31,8000000.0,,,,,,,,,,,,,,,,,,,,"On December 31, 2023, an invoice was issued for a Fixed Assets, totaling $8000000.00.",
Purchase20231231001,Purchase,2023-12-31,1500000.0,1500000.0,Director,Staff,Paid,Cash,S006,Supplier 6,P004,Heavy Equipment D,1.0,1500000.0,,,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 1.0 units at a unit price of $1500000.00, totaling $1500000.00. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Staff, and the approver is Director. The supplier ID is S006, and the supplier name is Supplier 6.",
Purchase20231231002,Purchase,2023-12-31,3000000.0,1500000.0,Director,Staff,Paid,Bank Transfer,S001,Supplier 1,P004,Heavy Equipment D,2.0,1500000.0,,,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 2.0 units at a unit price of $1500000.00, totaling $3000000.00. The payment_method of this transaction was bank transfer, and this transaction was paid. This transaction was prepared by Staff, and the approver is Director. The supplier ID is S001, and the supplier name is Supplier 1.",
Expense20240101001,Administrative Expenses,2024-01-01,22627.45,,Director,Staff,Paid,Cash,,,,,,,,,,,,,,,"On January 01, 2024, an invoice was issued for a Administrative Expenses, totaling $22627.45. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Staff, and the approver is Director.",
Depreciation20240101001,Depreciation,2024-01-01,45745.8,,,,,,,,,,,,,,,,,,,,"On January 01, 2024, an invoice was issued for a Depreciation, totaling $45745.80.",
Interest20240101001,Interest Receivables,2024-01-01,1068.0,,,,Unpaid,,,,,,,,Interest receviable,,,,,,,,"On January 01, 2024, an invoice was issued for a Interest Receivables, totaling $1068.00. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Purchase20231231003,Purchase,2023-12-31,1600000.0,800000.0,Director,Staff,Paid,Bank Transfer,S007,Supplier 7,P002,Heavy Equipment B,2.0,800000.0,,,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 2.0 units at a unit price of $800000.00, totaling $1600000.00. The payment_method of this transaction was bank transfer, and this transaction was paid. This transaction was prepared by Staff, and the approver is Director. The supplier ID is S007, and the supplier name is Supplier 7.",
Purchase20231231004,Purchase,2023-12-31,1000000.0,1000000.0,Director,Staff,Paid,Cash,S003,Supplier 3,P003,Heavy Equipment C,1.0,1000000.0,,,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 1.0 units at a unit price of $1000000.00, totaling $1000000.00. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Staff, and the approver is Director. The supplier ID is S003, and the supplier name is Supplier 3.",
