Account,Amount,Date
Main Business Revenue,2637011.03,2024-02-05
Total Revenue,2637011.03,2024-02-05
Cost of Goods Sold,1015000.00,2024-02-05
Total Cost,1015000.00,2024-02-05
Gross Profit,1622011.03,2024-02-05
Administrative Expenses,136536.97,2024-02-05
Selling Expenses,402699.98,2024-02-05
Depreciation,92870.67,2024-02-05
Financial Expenses,37809.98,2024-02-05
Total Expenses,669917.60,2024-02-05
Interest Income,15023.59,2024-02-05
Profit Before Tax,967117.02,2024-02-05
Tax Expense,131850.51,2024-02-05
Net Profit,835266.51,2024-02-05
