Account,Initial_amount,Initial_date,End_amount,End_date
Cash on Hand,3000000.00,2023-12-31,2602624.45,2024-02-05
Bank Deposits,5000000.00,2023-12-31,4283110.81,2024-02-05
Interest Receivable,0.00,2023-12-31,15023.59,2024-02-05
Accounts Receivable,0.00,2023-12-31,2117339.65,2024-02-05
Inventory,0.00,2023-12-31,203000.00,2024-02-05
Total Current Assets,8000000.00,2023-12-31,9221098.50,2024-02-05
Fixed Assets,5000000.00,2023-12-31,5085889.19,2024-02-05
Accumulated Depreciation,0.00,2023-12-31,92870.67,2024-02-05
Total Non-current Assets,5000000.00,2023-12-31,4993018.52,2024-02-05
Total Assets,13000000.00,2023-12-31,14214117.02,2024-02-05
Accounts Payable,0.00,2023-12-31,247000.00,2024-02-05
Taxes Payable,0.00,2023-12-31,131850.51,2024-02-05
Total Current Liabilities,0.00,2023-12-31,378850.51,2024-02-05
Paid-in Capital,13000000.00,2023-12-31,13000000.00,2024-02-05
Retained Earnings,0.00,2023-12-31,835266.51,2024-02-05
Total Owner's Equity,13000000.00,2023-12-31,13835266.51,2024-02-05
Total Liabilities and Owner's Equity,13000000.00,2023-12-31,14214117.02,2024-02-05
