Account,Amount,Date
Cash Flow From Operating Activities,,2024-02-05
Net Profit ,835266.51,2024-02-05
Depreciation ,92870.67,2024-02-05
(Increase) Decrease in Accounts Receivable ,-2117339.65,2024-02-05
(Increase) Decrease in Interest Receivable ,-15023.59,2024-02-05
(Increase) Decrease in Inventory ,-203000.00,2024-02-05
Increase (Decrease) in Accounts Payable ,247000.00,2024-02-05
Increase (Decrease) in Tax Payable ,131850.51,2024-02-05
Net Cash Flow from Operating Activities ,-1028375.55,2024-02-05
Cash Flow from Investing Activities,,2024-02-05
Purchase of Fixed Assets ,85889.19,2024-02-05
Net Cash Flow from Investing Activities ,-85889.19,2024-02-05
Cash and Cash Equivalents,,2024-02-05
Beginning Balance ,8000000.00,2024-02-05
Ending Balance ,6885735.26,2024-02-05
Net Increase ,-1114264.74,2024-02-05
