id,type,date,recorded_date,amount,recorded_amount,approver,preparer,payment/receipt_status,payment_method,cost_per_unit,supplier_id,supplier_name,product_id,product_name,quantity,unit_price,receive_method,customer_id,tax_amount,after_tax_amount,cost_amount,profit,asset_name,asset_type
Initial20231231001,Cash deposit,2023-12-31,2023-12-31,3000000.0,3000000.0,,,,,,,,,,,,,,,,,,,
Initial20231231001,Bank deposit,2023-12-31,2023-12-31,5000000.0,5000000.0,,,,,,,,,,,,,,,,,,,
Initial20231231001,Fixed Assets,2023-12-31,2023-12-31,5000000.0,5000000.0,,,,,,,,,,,,,,,,,,,
Purchase20231231001,Purchase,2023-12-31,2023-12-31,160000.0,160000.0,Director,Senior Staff,Paid,Bank Transfer,20000.0,S007,Supplier 7,P003,Premium Product C,8.0,20000.0,,,,,,,,
Purchase20231231002,Purchase,2023-12-31,2023-12-31,50000.0,50000.0,Director,Senior Staff,Paid,Bank Transfer,5000.0,S007,Supplier 7,P001,Premium Product A,10.0,5000.0,,,,,,,,
Purchase20231231003,Purchase,2023-12-31,2023-12-31,100000.0,100000.0,Director,Supervisor,Paid,Bank Transfer,10000.0,S001,Supplier 1,P002,Premium Product B,10.0,10000.0,,,,,,,,
Expense20240101001,Administrative Expenses,2024-01-01,2024-01-01,22978.51,22978.51,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Expense20240101001,Sales Expenses,2024-01-01,2024-01-01,24053.38,24053.38,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Depreciation20240101001,Depreciation,2024-01-01,2024-01-01,45748.43000000001,45748.43000000001,,,,,,,,,,,,,,,,,,,
Interest20240101001,Interest Receivables,2024-01-01,2024-01-01,417.40999999999997,417.40999999999997,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240102002,Sale,2024-01-02,2024-01-02,36215.84,36215.84,,,Paid,,20000.0,,,P003,Premium Product C,1.0,36215.84,Cash,C006,1810.79,34405.05,20000.0,16215.839999999997,,
Sale20240102003,Sale,2024-01-02,2024-01-02,59124.48,59124.48,,,Paid,,10000.0,,,P002,Premium Product B,3.0,19708.16,Cash,C002,2956.22,56168.26,30000.0,29124.480000000003,,
Sale20240102004,Sale,2024-01-02,2024-01-02,19969.83,19969.83,,,Paid,,10000.0,,,P002,Premium Product B,1.0,19969.83,Cash,C008,998.49,18971.34,10000.0,9969.830000000002,,
Sale20240102005,Sale,2024-01-02,2024-01-02,72765.04,72765.04,,,Paid,,20000.0,,,P003,Premium Product C,2.0,36382.52,Cash,C006,3638.25,69126.79,40000.0,32765.039999999994,,
Purchase20231231004,Purchase,2023-12-31,2023-12-31,250000.0,250000.0,Director,Senior Staff,Paid,Cash,50000.0,S009,Supplier 9,P004,Premium Product D,5.0,50000.0,,,,,,,,
Purchase20231231005,Purchase,2023-12-31,2023-12-31,350000.0,350000.0,Director,Senior Staff,Paid,Bank Transfer,50000.0,S003,Supplier 3,P004,Premium Product D,7.0,50000.0,,,,,,,,
Purchase20231231006,Purchase,2023-12-31,2023-12-31,80000.0,80000.0,Director,Supervisor,Paid,Bank Transfer,20000.0,S009,Supplier 9,P003,Premium Product C,4.0,20000.0,,,,,,,,
Expense20240102001,Administrative Expenses,2024-01-02,2024-01-02,6473.2,6473.2,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Expense20240102001,Sales Expenses,2024-01-02,2024-01-02,19088.99,19088.99,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Interest20240102002,Interest Receivables,2024-01-02,2024-01-02,379.14,379.14,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240103007,Sale,2024-01-03,2024-01-03,74406.36,74406.36,,,Paid,,20000.0,,,P003,Premium Product C,2.0,37203.18,Cash,C001,3720.32,70686.04,40000.0,34406.36,,
FixedAsset20231231001,Fixed Assets Purchase,2023-12-31,2023-12-31,256859.19,256859.19,,,Paid,Bank Transfer,,S006,Supplier 6,,,,,,,,,,,Processing Equipment4,Processing Equipment
FixedAsset20231231001,Fixed Assets Purchase,2023-12-31,2023-12-31,171985.91,171985.91,,,Paid,Bank Transfer,,S005,Supplier 5,,,,,,,,,,,Storage Facilities5,Storage Facilities
Expense20240103001,Sales Expenses,2024-01-03,2024-01-03,19464.42,19464.42,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Expense20240103001,Sales Expenses,2024-01-03,2024-01-03,26467.27,26467.27,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Interest20240103003,Interest Receivables,2024-01-03,2024-01-03,340.97278609999995,340.97278609999995,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240104010,Sale,2024-01-04,2024-01-04,34944.94,34944.94,,,Paid,,10000.0,,,P002,Premium Product B,2.0,17472.47,Cash,C013,1747.25,33197.69,20000.0,14944.940000000002,,
Sale20240104011,Sale,2024-01-04,2024-01-04,35220.92,35220.92,,,Paid,,10000.0,,,P002,Premium Product B,2.0,17610.46,Cash,C003,1761.05,33459.87,20000.0,15220.919999999998,,
Sale20240104012,Sale,2024-01-04,2024-01-04,77327.76,77327.76,,,Paid,,20000.0,,,P003,Premium Product C,2.0,38663.88,Cash,C006,3866.39,73461.37,40000.0,37327.759999999995,,
Expense20240104001,Sales Expenses,2024-01-04,2024-01-04,7744.48,7744.48,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Expense20240104001,Financial Expenses,2024-01-04,2024-01-04,28653.67,28653.67,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Expense20240104001,Sales Expenses,2024-01-04,2024-01-04,5956.65,5956.65,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Interest20240104004,Interest Receivables,2024-01-04,2024-01-04,340.97278609999995,340.97278609999995,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240105015,Sale,2024-01-05,2024-01-05,34779.88,34779.88,,,Unpaid,,20000.0,,,P003,Premium Product C,1.0,34779.88,Account Receviable,C010,1738.99,33040.89,20000.0,14779.879999999997,,
Sale20240105016,Sale,2024-01-05,2024-01-05,119794.38,119794.38,,,Paid,,20000.0,,,P003,Premium Product C,3.0,39931.46,Cash,C004,5989.72,113804.66,60000.0,59794.380000000005,,
Sale20240105017,Sale,2024-01-05,2024-01-05,18210.04,18210.04,,,Paid,,10000.0,,,P002,Premium Product B,1.0,18210.04,Cash,C003,910.5,17299.54,10000.0,8210.04,,
Expense20240105001,Sales Expenses,2024-01-05,2024-01-05,20403.56,20403.56,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Expense20240105001,Sales Expenses,2024-01-05,2024-01-05,10254.98,10254.98,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Expense20240105001,Sales Expenses,2024-01-05,2024-01-05,3249.88,3249.88,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Interest20240105005,Interest Receivables,2024-01-05,2024-01-05,340.97278609999995,340.97278609999995,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240106021,Sale,2024-01-06,2024-01-06,175639.68,175639.68,,,Paid,,50000.0,,,P004,Premium Product D,2.0,87819.84,Cash,C002,8781.98,166857.7,100000.0,75639.68,,
Sale20240106022,Sale,2024-01-06,2024-01-06,180204.56,180204.56,,,Paid,,50000.0,,,P004,Premium Product D,2.0,90102.28,Cash,C012,9010.23,171194.33,100000.0,80204.56,,
Sale20240106023,Sale,2024-01-06,2024-01-06,8723.75,8723.75,,,Paid,,5000.0,,,P001,Premium Product A,1.0,8723.75,Cash,C008,436.19,8287.56,5000.0,3723.75,,
Sale20240106024,Sale,2024-01-06,2024-01-06,34976.77,34976.77,,,Paid,,20000.0,,,P003,Premium Product C,1.0,34976.77,Cash,C017,1748.84,33227.93,20000.0,14976.769999999997,,
Purchase20231231007,Purchase,2023-12-31,2023-12-31,90000.0,90000.0,Director,Senior Staff,Paid,Cash,10000.0,S010,Supplier 10,P002,Premium Product B,9.0,10000.0,,,,,,,,
Expense20240106001,Sales Expenses,2024-01-06,2024-01-06,4322.97,4322.97,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Expense20240106001,Sales Expenses,2024-01-06,2024-01-06,26469.09,26469.09,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
