Account,Initial_amount,Initial_date,End_amount,End_date
Cash on Hand,3000000.00,2023-12-31,4303451.63,2024-01-27
Bank Deposits,5000000.00,2023-12-31,2938804.13,2024-01-27
Interest Receivable,0.00,2023-12-31,8592.81,2024-01-27
Accounts Receivable,0.00,2023-12-31,1502354.84,2024-01-27
Inventory,0.00,2023-12-31,440000.00,2024-01-27
Total Current Assets,8000000.00,2023-12-31,9193203.41,2024-01-27
Fixed Assets,5000000.00,2023-12-31,5676195.87,2024-01-27
Accumulated Depreciation,0.00,2023-12-31,45748.43,2024-01-27
Total Non-current Assets,5000000.00,2023-12-31,5630447.44,2024-01-27
Total Assets,13000000.00,2023-12-31,14823650.85,2024-01-27
Accounts Payable,0.00,2023-12-31,450000.00,2024-01-27
Taxes Payable,0.00,2023-12-31,278279.50,2024-01-27
Total Current Liabilities,0.00,2023-12-31,728279.50,2024-01-27
Paid-in Capital,13000000.00,2023-12-31,13000000.00,2024-01-27
Retained Earnings,0.00,2023-12-31,1095371.35,2024-01-27
Total Owner's Equity,13000000.00,2023-12-31,14095371.35,2024-01-27
Total Liabilities and Owner's Equity,13000000.00,2023-12-31,14823650.85,2024-01-27
