Account,Amount,Date
Cash Flow From Operating Activities,,2024-01-27
Net Profit ,1095371.35,2024-01-27
Depreciation ,45748.43,2024-01-27
(Increase) Decrease in Accounts Receivable ,-1502354.84,2024-01-27
(Increase) Decrease in Interest Receivable ,-8592.81,2024-01-27
(Increase) Decrease in Inventory ,-440000.00,2024-01-27
Increase (Decrease) in Accounts Payable ,450000.00,2024-01-27
Increase (Decrease) in Tax Payable ,278279.50,2024-01-27
Net Cash Flow from Operating Activities ,-81548.37,2024-01-27
Cash Flow from Investing Activities,,2024-01-27
Purchase of Fixed Assets ,676195.87,2024-01-27
Net Cash Flow from Investing Activities ,-676195.87,2024-01-27
Cash and Cash Equivalents,,2024-01-27
Beginning Balance ,8000000.00,2024-01-27
Ending Balance ,7242255.76,2024-01-27
Net Increase ,-757744.24,2024-01-27
