Account,Initial_amount,Initial_date,End_amount,End_date
Cash on Hand,5000000.00,2023-12-31,6057264.53,2024-02-05
Bank Deposits,15000000.00,2023-12-31,1020005.47,2024-02-05
Interest Receivable,0.00,2023-12-31,14887.89,2024-02-05
Accounts Receivable,0.00,2023-12-31,14921566.06,2024-02-05
Inventory,0.00,2023-12-31,7400000.00,2024-02-05
Total Current Assets,20000000.00,2023-12-31,29413723.95,2024-02-05
Fixed Assets,8000000.00,2023-12-31,10479994.53,2024-02-05
Accumulated Depreciation,0.00,2023-12-31,120970.16,2024-02-05
Total Non-current Assets,8000000.00,2023-12-31,10359024.37,2024-02-05
Total Assets,28000000.00,2023-12-31,39772748.32,2024-02-05
Accounts Payable,0.00,2023-12-31,6600000.00,2024-02-05
Taxes Payable,0.00,2023-12-31,1428630.43,2024-02-05
Total Current Liabilities,0.00,2023-12-31,8028630.43,2024-02-05
Paid-in Capital,28000000.00,2023-12-31,28000000.00,2024-02-05
Retained Earnings,0.00,2023-12-31,3744117.89,2024-02-05
Total Owner's Equity,28000000.00,2023-12-31,31744117.89,2024-02-05
Total Liabilities and Owner's Equity,28000000.00,2023-12-31,39772748.32,2024-02-05
