Account,Amount,Date
Cash Flow From Operating Activities,,2024-02-05
Net Profit ,3744117.89,2024-02-05
Depreciation ,120970.16,2024-02-05
(Increase) Decrease in Accounts Receivable ,-14921566.06,2024-02-05
(Increase) Decrease in Interest Receivable ,-14887.89,2024-02-05
(Increase) Decrease in Inventory ,-7400000.00,2024-02-05
Increase (Decrease) in Accounts Payable ,6600000.00,2024-02-05
Increase (Decrease) in Tax Payable ,1428630.43,2024-02-05
Net Cash Flow from Operating Activities ,-10442735.47,2024-02-05
Cash Flow from Investing Activities,,2024-02-05
Purchase of Fixed Assets ,2479994.53,2024-02-05
Net Cash Flow from Investing Activities ,-2479994.53,2024-02-05
Cash and Cash Equivalents,,2024-02-05
Beginning Balance ,20000000.00,2024-02-05
Ending Balance ,7077270.00,2024-02-05
Net Increase ,-12922730.00,2024-02-05
