id,recorded_type,recorded_date,recorded_amount,recorded_approver,recorded_preparer,recorded_payment/receipt_status,recorded_payment_method,recorded_cost_per_unit,supplier_id,supplier_name,product_id,recorded_product_name,recorded_quantity,recorded_unit_price,recorded_receive_method,asset_name,asset_type,recorded_customer_id,recorded_tax_amount,recorded_after_tax_amount,recorded_cost_amount,recorded_profit,invoice,risk_issues
Initial20231231001,Cash deposit,2023-12-31,5000000.0,,,,,,,,,,,,,,,,,,,,"On December 31, 2023, an invoice was issued for a Cash deposit, totaling $5000000.00.",
Initial20231231001,Bank deposit,2023-12-31,15000000.0,,,,,,,,,,,,,,,,,,,,"On December 31, 2023, an invoice was issued for a Bank deposit, totaling $15000000.00.",
Initial20231231001,Fixed Assets,2023-12-31,8000000.0,,,,,,,,,,,,,,,,,,,,"On December 31, 2023, an invoice was issued for a Fixed Assets, totaling $8000000.00.",
Purchase20231231001,Purchase,2023-12-31,1000000.0,Director,Senior Staff,Paid,Bank Transfer,1000000.0,S006,Supplier 6,P003,Heavy Equipment C,1.0,1000000.0,,,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 1.0 units at a unit price of $1000000.00, totaling $1000000.00. The payment_method of this transaction was bank transfer, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director. The supplier ID is S006, and the supplier name is Supplier 6.",
Expense20240101001,Administrative Expenses,2024-01-01,46517.71,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,,"On January 01, 2024, an invoice was issued for a Administrative Expenses, totaling $46517.71. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Depreciation20240101001,Depreciation,2024-01-01,45749.96,,,,,,,,,,,,,,,,,,,,"On January 01, 2024, an invoice was issued for a Depreciation, totaling $45749.96.",
Interest20240101001,Interest Receivables,2024-01-01,1246.0,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 01, 2024, an invoice was issued for a Interest Receivables, totaling $1246.00. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
FixedAsset20231231001,Fixed Assets Purchase,2023-12-31,758493.61,,,Paid,Bank Transfer,,S008,Supplier 8,,,,,,Production Line Equipment4,Production Line Equipment,,,,,,"On December 31, 2023, an invoice was issued for a Fixed Assets Purchase, totaling $758493.61. The payment_method of this transaction was bank transfer, and this transaction was paid. The supplier ID is S008, and the supplier name is Supplier 8.",
Purchase20231231002,Purchase,2023-12-31,1000000.0,Director,Senior Staff,Unpaid,Account Payable,1000000.0,S009,Supplier 9,P003,Heavy Equipment C,1.0,1000000.0,,,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 1.0 units at a unit price of $1000000.00, totaling $1000000.00. The payment_method of this transaction was account payable, and this transaction was unpaid. This transaction was prepared by Senior Staff, and the approver is Director. The supplier ID is S009, and the supplier name is Supplier 9.",
Expense20240102001,Administrative Expenses,2024-01-02,83454.23,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,,"On January 02, 2024, an invoice was issued for a Administrative Expenses, totaling $83454.23. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Interest20240102002,Interest Receivables,2024-01-02,1178.49,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 02, 2024, an invoice was issued for a Interest Receivables, totaling $1178.49. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
