id,type,date,recorded_date,amount,recorded_amount,approver,preparer,payment/receipt_status,payment_method,cost_per_unit,supplier_id,supplier_name,product_id,product_name,quantity,unit_price,receive_method,asset_name,asset_type,customer_id,tax_amount,after_tax_amount,cost_amount,profit
Initial20231231001,Cash deposit,2023-12-31,2023-12-31,5000000.0,5000000.0,,,,,,,,,,,,,,,,,,,
Initial20231231001,Bank deposit,2023-12-31,2023-12-31,15000000.0,15000000.0,,,,,,,,,,,,,,,,,,,
Initial20231231001,Fixed Assets,2023-12-31,2023-12-31,8000000.0,8000000.0,,,,,,,,,,,,,,,,,,,
Purchase20231231001,Purchase,2023-12-31,2023-12-31,1000000.0,1000000.0,Director,Senior Staff,Paid,Bank Transfer,1000000.0,S006,Supplier 6,P003,Heavy Equipment C,1.0,1000000.0,,,,,,,,
Expense20240101001,Administrative Expenses,2024-01-01,2024-01-01,46517.71,46517.71,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Depreciation20240101001,Depreciation,2024-01-01,2024-01-01,45749.96,45749.96,,,,,,,,,,,,,,,,,,,
Interest20240101001,Interest Receivables,2024-01-01,2024-01-01,1246.0,1246.0,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
FixedAsset20231231001,Fixed Assets Purchase,2023-12-31,2023-12-31,758493.61,758493.61,,,Paid,Bank Transfer,,S008,Supplier 8,,,,,,Production Line Equipment4,Production Line Equipment,,,,,
Purchase20231231002,Purchase,2023-12-31,2023-12-31,1000000.0,1000000.0,Director,Senior Staff,Unpaid,Account Payable,1000000.0,S009,Supplier 9,P003,Heavy Equipment C,1.0,1000000.0,,,,,,,,
Expense20240102001,Administrative Expenses,2024-01-02,2024-01-02,83454.23,83454.23,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Interest20240102002,Interest Receivables,2024-01-02,2024-01-02,1178.49406871,1178.49406871,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240103001,Sale,2024-01-03,2024-01-03,1411983.38,1411983.38,,,Unpaid,,1000000.0,,,P003,Heavy Equipment C,1.0,1411983.38,Account Receviable,,,C018,70599.17,1341384.21,1000000.0,411983.3799999999
Purchase20231231003,Purchase,2023-12-31,2023-12-31,1000000.0,1000000.0,Director,Senior Staff,Paid,Bank Transfer,1000000.0,S005,Supplier 5,P003,Heavy Equipment C,1.0,1000000.0,,,,,,,,
Expense20240103001,Administrative Expenses,2024-01-03,2024-01-03,33781.67,33781.67,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Expense20240103001,Administrative Expenses,2024-01-03,2024-01-03,32999.84,32999.84,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Interest20240103003,Interest Receivables,2024-01-03,2024-01-03,1089.49406871,1089.49406871,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Purchase20231231004,Purchase,2023-12-31,2023-12-31,1500000.0,1500000.0,Director,Senior Staff,Paid,Cash,1500000.0,S006,Supplier 6,P004,Heavy Equipment D,1.0,1500000.0,,,,,,,,
Expense20240104001,Sales Expenses,2024-01-04,2024-01-04,76455.38,76455.38,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Interest20240104004,Interest Receivables,2024-01-04,2024-01-04,1089.49406871,1089.49406871,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Purchase20231231005,Purchase,2023-12-31,2023-12-31,3000000.0,3000000.0,Director,Senior Staff,Paid,Cash,1500000.0,S010,Supplier 10,P004,Heavy Equipment D,2.0,1500000.0,,,,,,,,
Transfer20240105001,Bank to cash transfer,2024-01-05,2024-01-05,1000000.0,1000000.0,,,,,,,,,,,,,,,,,,,
Purchase20231231006,Purchase,2023-12-31,2023-12-31,1600000.0,1600000.0,Director,Senior Staff,Paid,Bank Transfer,800000.0,S004,Supplier 4,P002,Heavy Equipment B,2.0,800000.0,,,,,,,,
Expense20240105001,Sales Expenses,2024-01-05,2024-01-05,19956.1,19956.1,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Interest20240105005,Interest Receivables,2024-01-05,2024-01-05,858.09406871,858.09406871,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240106004,Sale,2024-01-06,2024-01-06,1180660.04,1180660.04,,,Unpaid,,800000.0,,,P002,Heavy Equipment B,1.0,1180660.04,Account Receviable,,,C013,59033.0,1121627.04,800000.0,380660.04000000004
Expense20240106001,Sales Expenses,2024-01-06,2024-01-06,66794.44,66794.44,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Interest20240106006,Interest Receivables,2024-01-06,2024-01-06,858.09406871,858.09406871,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240107006,Sale,2024-01-07,2024-01-07,2183357.44,2183357.44,,,Unpaid,,1500000.0,,,P004,Heavy Equipment D,1.0,2183357.44,Account Receviable,,,C008,109167.87,2074189.57,1500000.0,683357.44
Expense20240107001,Administrative Expenses,2024-01-07,2024-01-07,88987.43,88987.43,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Expense20240107001,Administrative Expenses,2024-01-07,2024-01-07,41863.27,41863.27,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Interest20240107007,Interest Receivables,2024-01-07,2024-01-07,858.09406871,858.09406871,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Purchase20231231007,Purchase,2023-12-31,2023-12-31,800000.0,800000.0,Director,Senior Staff,Paid,Bank Transfer,800000.0,S008,Supplier 8,P002,Heavy Equipment B,1.0,800000.0,,,,,,,,
Expense20240108001,Administrative Expenses,2024-01-08,2024-01-08,10564.48,10564.48,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Transfer20240108001,Bank to cash transfer,2024-01-08,2024-01-08,1000000.0,1000000.0,,,,,,,,,,,,,,,,,,,
Expense20240108001,Administrative Expenses,2024-01-08,2024-01-08,76852.11,76852.11,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Interest20240108008,Interest Receivables,2024-01-08,2024-01-08,697.89406871,697.89406871,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240109007,Sale,2024-01-09,2024-01-09,1081640.66,1081640.66,,,Unpaid,,800000.0,,,P002,Heavy Equipment B,1.0,1081640.66,Account Receviable,,,C004,54082.03,1027558.63,800000.0,281640.6599999999
Expense20240109001,Administrative Expenses,2024-01-09,2024-01-09,79898.85,79898.85,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Expense20240109001,Sales Expenses,2024-01-09,2024-01-09,70987.96,70987.96,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Interest20240109009,Interest Receivables,2024-01-09,2024-01-09,697.89406871,697.89406871,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240110009,Sale,2024-01-10,2024-01-10,1064438.17,1064438.17,,,Paid,,800000.0,,,P002,Heavy Equipment B,1.0,1064438.17,Cash,,,C005,53221.91,1011216.26,800000.0,264438.1699999999
Purchase20231231008,Purchase,2023-12-31,2023-12-31,1000000.0,1000000.0,Director,Senior Staff,Unpaid,Account Payable,500000.0,S008,Supplier 8,P001,Heavy Equipment A,2.0,500000.0,,,,,,,,
Expense20240110001,Administrative Expenses,2024-01-10,2024-01-10,33141.79,33141.79,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Expense20240110001,Financial Expenses,2024-01-10,2024-01-10,60049.63,60049.63,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Interest20240110010,Interest Receivables,2024-01-10,2024-01-10,697.89406871,697.89406871,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Expense20240111001,Sales Expenses,2024-01-11,2024-01-11,51086.01,51086.01,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Expense20240111001,Financial Expenses,2024-01-11,2024-01-11,52391.74,52391.74,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Interest20240111011,Interest Receivables,2024-01-11,2024-01-11,697.89406871,697.89406871,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Expense20240112001,Administrative Expenses,2024-01-12,2024-01-12,90795.92,90795.92,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Expense20240112001,Financial Expenses,2024-01-12,2024-01-12,69569.7,69569.7,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
