Account,Amount,Date
Main Business Revenue,28572608.70,2024-02-05
Total Revenue,28572608.70,2024-02-05
Cost of Goods Sold,20200000.00,2024-02-05
Total Cost,20200000.00,2024-02-05
Gross Profit,8372608.70,2024-02-05
Administrative Expenses,1544669.73,2024-02-05
Selling Expenses,1177105.26,2024-02-05
Depreciation,120970.16,2024-02-05
Financial Expenses,372003.12,2024-02-05
Total Expenses,3214748.27,2024-02-05
Interest Income,14887.89,2024-02-05
Profit Before Tax,5172748.32,2024-02-05
Tax Expense,1428630.43,2024-02-05
Net Profit,3744117.89,2024-02-05
