id,recorded_type,recorded_date,recorded_amount,recorded_approver,recorded_preparer,recorded_payment/receipt_status,recorded_payment_method,recorded_cost_per_unit,supplier_id,supplier_name,product_id,recorded_product_name,recorded_quantity,recorded_unit_price,recorded_receive_method,recorded_customer_id,recorded_tax_amount,recorded_after_tax_amount,recorded_cost_amount,recorded_profit,invoice,risk_issues
Initial20231231001,Cash deposit,2023-12-31,3000000.0,,,,,,,,,,,,,,,,,,"On December 31, 2023, an invoice was issued for a Cash deposit, totaling $3000000.00.",
Initial20231231001,Bank deposit,2023-12-31,5000000.0,,,,,,,,,,,,,,,,,,"On December 31, 2023, an invoice was issued for a Bank deposit, totaling $5000000.00.",
Initial20231231001,Fixed Assets,2023-12-31,5000000.0,,,,,,,,,,,,,,,,,,"On December 31, 2023, an invoice was issued for a Fixed Assets, totaling $5000000.00.",
Purchase20231231001,Purchase,2023-12-31,20000.0,Director,Senior Supervisor,Paid,Bank Transfer,20000.0,S009,Supplier 9,S003,Premium Consulting,1.0,20000.0,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 1.0 units at a unit price of $20000.00, totaling $20000.00. The payment_method of this transaction was bank transfer, and this transaction was paid. This transaction was prepared by Senior Supervisor, and the approver is Director. The supplier ID is S009, and the supplier name is Supplier 9.",
Expense20240101001,Administrative Expenses,2024-01-01,14726.63,Director,Junior Staff,Paid,Cash,,,,,,,,,,,,,,"On January 01, 2024, an invoice was issued for a Administrative Expenses, totaling $14726.63. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Junior Staff, and the approver is Director.",
Depreciation20240101001,Depreciation,2024-01-01,45754.64,,,,,,,,,,,,,,,,,,"On January 01, 2024, an invoice was issued for a Depreciation, totaling $45754.64.",
Interest20240101001,Interest Receivables,2024-01-01,443.22,,,Unpaid,,,,,,,,,Interest receviable,,,,,,"On January 01, 2024, an invoice was issued for a Interest Receivables, totaling $443.22. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240102001,Sale,2024-01-02,53170.71,,,Unpaid,,20000.0,,,S003,Premium Consulting,1.0,53170.71,Account Receviable,C006,2658.54,50512.17,20000.0,33170.71,"On January 02, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $53170.71, totaling $53170.71. The cost amount for this transaction was $20000.00, with a tax amount of $2658.54, leading to a total amount due of $50512.17. The receive_method of this transaction was account receviable, and this transaction was unpaid.",
Expense20240102001,Sales Expenses,2024-01-02,12921.28,Director,Junior Staff,Paid,Cash,,,,,,,,,,,,,,"On January 02, 2024, an invoice was issued for a Sales Expenses, totaling $12921.28. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Junior Staff, and the approver is Director.",
Expense20240102001,Financial Expenses,2024-01-02,4678.66,Director,Senior Supervisor,Paid,Cash,,,,,,,,,,,,,,"On January 02, 2024, an invoice was issued for a Financial Expenses, totaling $4678.66. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Supervisor, and the approver is Director.",
