Account,Amount,Date
Cash Flow From Operating Activities,,2024-02-05
Net Profit ,1903401.82,2024-02-05
Depreciation ,91505.05,2024-02-05
(Increase) Decrease in Accounts Receivable ,-2984071.72,2024-02-05
(Increase) Decrease in Interest Receivable ,-13279.60,2024-02-05
(Increase) Decrease in Inventory ,-485000.00,2024-02-05
Increase (Decrease) in Accounts Payable ,381000.00,2024-02-05
Increase (Decrease) in Tax Payable ,243988.48,2024-02-05
Net Cash Flow from Operating Activities ,-862455.97,2024-02-05
Cash Flow from Investing Activities,,2024-02-05
Purchase of Fixed Assets ,0.00,2024-02-05
Net Cash Flow from Investing Activities ,-0.00,2024-02-05
Cash and Cash Equivalents,,2024-02-05
Beginning Balance ,8000000.00,2024-02-05
Ending Balance ,7137544.03,2024-02-05
Net Increase ,-862455.97,2024-02-05
