Account,Amount,Date
Main Business Revenue,4879769.51,2024-02-05
Total Revenue,4879769.51,2024-02-05
Cost of Goods Sold,2018000.00,2024-02-05
Total Cost,2018000.00,2024-02-05
Gross Profit,2861769.51,2024-02-05
Administrative Expenses,294758.34,2024-02-05
Selling Expenses,274260.07,2024-02-05
Depreciation,91505.05,2024-02-05
Financial Expenses,67135.35,2024-02-05
Total Expenses,727658.81,2024-02-05
Interest Income,13279.60,2024-02-05
Profit Before Tax,2147390.30,2024-02-05
Tax Expense,243988.48,2024-02-05
Net Profit,1903401.82,2024-02-05
