Account,Amount,Date
Cash Flow From Operating Activities,,2024-01-28
Net Profit ,1103190.60,2024-01-28
Depreciation ,45749.76,2024-01-28
(Increase) Decrease in Accounts Receivable ,-1355463.34,2024-01-28
(Increase) Decrease in Interest Receivable ,-10710.07,2024-01-28
(Increase) Decrease in Inventory ,-295000.00,2024-01-28
Increase (Decrease) in Accounts Payable ,1820000.00,2024-01-28
Increase (Decrease) in Tax Payable ,290671.05,2024-01-28
Net Cash Flow from Operating Activities ,1598438.00,2024-01-28
Cash Flow from Investing Activities,,2024-01-28
Purchase of Fixed Assets ,352857.55,2024-01-28
Net Cash Flow from Investing Activities ,-352857.55,2024-01-28
Cash and Cash Equivalents,,2024-01-28
Beginning Balance ,8000000.00,2024-01-28
Ending Balance ,9245580.45,2024-01-28
Net Increase ,1245580.45,2024-01-28
