Account,Initial_amount,Initial_date,End_amount,End_date
Cash on Hand,3000000.00,2023-12-31,5603438.00,2024-01-28
Bank Deposits,5000000.00,2023-12-31,3642142.45,2024-01-28
Interest Receivable,0.00,2023-12-31,10710.07,2024-01-28
Accounts Receivable,0.00,2023-12-31,1355463.34,2024-01-28
Inventory,0.00,2023-12-31,295000.00,2024-01-28
Total Current Assets,8000000.00,2023-12-31,10906753.86,2024-01-28
Fixed Assets,5000000.00,2023-12-31,5352857.55,2024-01-28
Accumulated Depreciation,0.00,2023-12-31,45749.76,2024-01-28
Total Non-current Assets,5000000.00,2023-12-31,5307107.79,2024-01-28
Total Assets,13000000.00,2023-12-31,16213861.65,2024-01-28
Accounts Payable,0.00,2023-12-31,1820000.00,2024-01-28
Taxes Payable,0.00,2023-12-31,290671.05,2024-01-28
Total Current Liabilities,0.00,2023-12-31,2110671.05,2024-01-28
Paid-in Capital,13000000.00,2023-12-31,13000000.00,2024-01-28
Retained Earnings,0.00,2023-12-31,1103190.60,2024-01-28
Total Owner's Equity,13000000.00,2023-12-31,14103190.60,2024-01-28
Total Liabilities and Owner's Equity,13000000.00,2023-12-31,16213861.65,2024-01-28
