Account,Amount,Date
Main Business Revenue,5813420.67,2024-01-28
Total Revenue,5813420.67,2024-01-28
Cost of Goods Sold,3175000.00,2024-01-28
Total Cost,3175000.00,2024-01-28
Gross Profit,2638420.67,2024-01-28
Administrative Expenses,191069.49,2024-01-28
Selling Expenses,731171.32,2024-01-28
Depreciation,45749.76,2024-01-28
Financial Expenses,287278.52,2024-01-28
Total Expenses,1255269.09,2024-01-28
Interest Income,10710.07,2024-01-28
Profit Before Tax,1393861.65,2024-01-28
Tax Expense,290671.05,2024-01-28
Net Profit,1103190.60,2024-01-28
