id,recorded_type,recorded_date,recorded_amount,recorded_approver,recorded_preparer,recorded_payment/receipt_status,recorded_cost_per_unit,recorded_payment_method,supplier_id,supplier_name,product_id,recorded_product_name,recorded_quantity,recorded_unit_price,recorded_receive_method,recorded_customer_id,recorded_tax_amount,recorded_after_tax_amount,recorded_cost_amount,recorded_profit,asset_name,asset_type,invoice,risk_issues
Initial20231231001,Cash deposit,2023-12-31,3000000.0,,,,,,,,,,,,,,,,,,,,"On December 31, 2023, an invoice was issued for a Cash deposit, totaling $3000000.00.",
Initial20231231001,Bank deposit,2023-12-31,5000000.0,,,,,,,,,,,,,,,,,,,,"On December 31, 2023, an invoice was issued for a Bank deposit, totaling $5000000.00.",
Initial20231231001,Fixed Assets,2023-12-31,5000000.0,,,,,,,,,,,,,,,,,,,,"On December 31, 2023, an invoice was issued for a Fixed Assets, totaling $5000000.00.",
Purchase20231231001,Purchase,2023-12-31,180000.0,Director,Staff,Unpaid,20000.0,Account Payable,S008,Supplier 8,P003,Premium Product C,9.0,20000.0,,,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 9.0 units at a unit price of $20000.00, totaling $180000.00. The payment_method of this transaction was account payable, and this transaction was unpaid. This transaction was prepared by Staff, and the approver is Director. The supplier ID is S008, and the supplier name is Supplier 8.",
Expense20240101001,Sales Expenses,2024-01-01,27754.04,Director,Senior Staff,Paid,,Cash,,,,,,,,,,,,,,,"On January 01, 2024, an invoice was issued for a Sales Expenses, totaling $27754.04. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Expense20240101001,Sales Expenses,2024-01-01,6461.03,Director,Supervisor,Paid,,Cash,,,,,,,,,,,,,,,"On January 01, 2024, an invoice was issued for a Sales Expenses, totaling $6461.03. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Depreciation20240101001,Depreciation,2024-01-01,45749.76,,,,,,,,,,,,,,,,,,,,"On January 01, 2024, an invoice was issued for a Depreciation, totaling $45749.76.",
Interest20240101001,Interest Receivables,2024-01-01,445.0,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 01, 2024, an invoice was issued for a Interest Receivables, totaling $445.00. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240102003,Sales Expenses,2024-01-31,39394.9,,,Paid,20000.0,,,,P003,Premium Product C,1.0,39206.62,Cash,C009,1969.75,37425.15,20000.0,19394.9,,,"On January 02, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $39394.90, totaling $39394.90. The cost amount for this transaction was $20000.00, with a tax amount of $1969.75, leading to a total amount due of $37425.15. The receive_method of this transaction was cash, and this transaction was paid.","[{'Original date': '2024-01-02', 'Recorded date': '2024-01-31', 'id': 'Sale20240102003'}, {'Original price': 39394.9, 'Recorded price': 39206.62, 'id': 'Sale20240102003'}, {'Original category': 'Sale', 'Recorded category': 'Sales Expenses', 'id': 'Sale20240102003'}]"
Sale20240102004,Sale,2024-01-02,38148.42,,,Paid,20000.0,,,,P003,Premium Product C,1.0,38148.42,Cash,C006,1907.42,36241.0,20000.0,18148.42,,,"On January 02, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $38148.42, totaling $38148.42. The cost amount for this transaction was $20000.00, with a tax amount of $1907.42, leading to a total amount due of $36241.00. The receive_method of this transaction was cash, and this transaction was paid.",
