Account,Amount,Date
Main Business Revenue,16388736.33,2024-02-05
Total Revenue,16388736.33,2024-02-05
Cost of Goods Sold,11600000.00,2024-02-05
Total Cost,11600000.00,2024-02-05
Gross Profit,4788736.33,2024-02-05
Administrative Expenses,738427.41,2024-02-05
Selling Expenses,1334099.97,2024-02-05
Depreciation,105893.32,2024-02-05
Financial Expenses,523627.32,2024-02-05
Total Expenses,2702048.02,2024-02-05
Interest Income,23583.67,2024-02-05
Profit Before Tax,2110271.98,2024-02-05
Tax Expense,819436.82,2024-02-05
Net Profit,1290835.16,2024-02-05
