Account,Initial_amount,Initial_date,End_amount,End_date
Cash on Hand,5000000.00,2023-12-31,9383594.56,2024-02-05
Bank Deposits,15000000.00,2023-12-31,2573984.92,2024-02-05
Interest Receivable,0.00,2023-12-31,23583.67,2024-02-05
Accounts Receivable,0.00,2023-12-31,6408987.07,2024-02-05
Inventory,0.00,2023-12-31,5600000.00,2024-02-05
Total Current Assets,20000000.00,2023-12-31,23990150.22,2024-02-05
Fixed Assets,8000000.00,2023-12-31,9726015.08,2024-02-05
Accumulated Depreciation,0.00,2023-12-31,105893.32,2024-02-05
Total Non-current Assets,8000000.00,2023-12-31,9620121.76,2024-02-05
Total Assets,28000000.00,2023-12-31,33610271.98,2024-02-05
Accounts Payable,0.00,2023-12-31,3500000.00,2024-02-05
Taxes Payable,0.00,2023-12-31,819436.82,2024-02-05
Total Current Liabilities,0.00,2023-12-31,4319436.82,2024-02-05
Paid-in Capital,28000000.00,2023-12-31,28000000.00,2024-02-05
Retained Earnings,0.00,2023-12-31,1290835.16,2024-02-05
Total Owner's Equity,28000000.00,2023-12-31,29290835.16,2024-02-05
Total Liabilities and Owner's Equity,28000000.00,2023-12-31,33610271.98,2024-02-05
