Account,Initial_amount,Initial_date,End_amount,End_date
Cash on Hand,3000000.00,2023-12-31,1753673.43,2024-01-30
Bank Deposits,5000000.00,2023-12-31,1522888.62,2024-01-30
Interest Receivable,0.00,2023-12-31,5758.38,2024-01-30
Accounts Receivable,0.00,2023-12-31,1988616.02,2024-01-30
Inventory,0.00,2023-12-31,3540000.00,2024-01-30
Total Current Assets,8000000.00,2023-12-31,8810936.45,2024-01-30
Fixed Assets,5000000.00,2023-12-31,5324677.57,2024-01-30
Accumulated Depreciation,0.00,2023-12-31,45753.36,2024-01-30
Total Non-current Assets,5000000.00,2023-12-31,5278924.21,2024-01-30
Total Assets,13000000.00,2023-12-31,14089860.66,2024-01-30
Accounts Payable,0.00,2023-12-31,2100000.00,2024-01-30
Taxes Payable,0.00,2023-12-31,391297.55,2024-01-30
Total Current Liabilities,0.00,2023-12-31,2491297.55,2024-01-30
Paid-in Capital,13000000.00,2023-12-31,13000000.00,2024-01-30
Retained Earnings,0.00,2023-12-31,-1401436.89,2024-01-30
Total Owner's Equity,13000000.00,2023-12-31,11598563.11,2024-01-30
Total Liabilities and Owner's Equity,13000000.00,2023-12-31,14089860.66,2024-01-30
