Account,Amount,Date
Main Business Revenue,7825951.24,2024-01-30
Total Revenue,7825951.24,2024-01-30
Cost of Goods Sold,6290000.00,2024-01-30
Total Cost,6290000.00,2024-01-30
Gross Profit,1535951.24,2024-01-30
Administrative Expenses,1335153.59,2024-01-30
Selling Expenses,627729.56,2024-01-30
Depreciation,45753.36,2024-01-30
Financial Expenses,543212.45,2024-01-30
Total Expenses,2551848.96,2024-01-30
Interest Income,5758.38,2024-01-30
Profit Before Tax,-1010139.34,2024-01-30
Tax Expense,391297.55,2024-01-30
Net Profit,-1401436.89,2024-01-30
