id,type,date,recorded_date,amount,recorded_amount,approver,preparer,payment/receipt_status,payment_method,cost_per_unit,supplier_id,supplier_name,product_id,product_name,quantity,unit_price,receive_method,customer_id,tax_amount,after_tax_amount,cost_amount,profit,asset_name,asset_type
Initial20231231001,Cash deposit,2023-12-31,2023-12-31,3000000.0,3000000.0,,,,,,,,,,,,,,,,,,,
Initial20231231001,Bank deposit,2023-12-31,2023-12-31,5000000.0,5000000.0,,,,,,,,,,,,,,,,,,,
Initial20231231001,Fixed Assets,2023-12-31,2023-12-31,5000000.0,5000000.0,,,,,,,,,,,,,,,,,,,
Purchase20231231001,Purchase,2023-12-31,2023-12-31,280000.0,280000.0,Director,Senior Staff,Paid,Bank Transfer,10000.0,S006,Supplier 6,P001,Chemical Product A,28.0,10000.0,,,,,,,,
Expense20240101001,Financial Expenses,2024-01-01,2024-01-01,47223.8,47223.8,Director,Staff,Paid,Cash,,,,,,,,,,,,,,,
Expense20240101001,Sales Expenses,2024-01-01,2024-01-01,5602.39,5602.39,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Expense20240101001,Administrative Expenses,2024-01-01,2024-01-01,11317.25,11317.25,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Depreciation20240101001,Depreciation,2024-01-01,2024-01-01,45753.36,45753.36,,,,,,,,,,,,,,,,,,,
Interest20240101001,Interest Receivables,2024-01-01,2024-01-01,420.08,420.08,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240102002,Sale,2024-01-02,2024-01-02,11498.27,11498.27,,,Paid,,10000.0,,,P001,Chemical Product A,1.0,11498.27,Cash,C007,574.91,10923.36,10000.0,1498.2700000000004,,
Sale20240102003,Sale,2024-01-02,2024-01-02,41935.53,41935.53,,,Unpaid,,10000.0,,,P001,Chemical Product A,3.0,13978.51,Account Receviable,C020,2096.78,39838.75,30000.0,11935.529999999999,,
Purchase20231231002,Purchase,2023-12-31,2023-12-31,500000.0,500000.0,Director,Senior Staff,Paid,Bank Transfer,20000.0,S007,Supplier 7,P002,Chemical Product B,25.0,20000.0,,,,,,,,
Expense20240102001,Administrative Expenses,2024-01-02,2024-01-02,40964.67,40964.67,Director,Staff,Paid,Cash,,,,,,,,,,,,,,,
Expense20240102001,Administrative Expenses,2024-01-02,2024-01-02,16272.18,16272.18,Director,Staff,Paid,Cash,,,,,,,,,,,,,,,
Expense20240102001,Administrative Expenses,2024-01-02,2024-01-02,17102.19,17102.19,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Expense20240102001,Administrative Expenses,2024-01-02,2024-01-02,22298.07,22298.07,Director,Staff,Paid,Cash,,,,,,,,,,,,,,,
Interest20240102002,Interest Receivables,2024-01-02,2024-01-02,375.58,375.58,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240103004,Sale,2024-01-03,2024-01-03,93580.28,93580.28,,,Paid,,20000.0,,,P002,Chemical Product B,4.0,23395.07,Cash,C003,4679.01,88901.27,80000.0,13580.279999999999,,
FixedAsset20231231001,Fixed Assets Purchase,2023-12-31,2023-12-31,324677.57,324677.57,,,Paid,Bank Transfer,,S005,Supplier 5,,,,,,,,,,,Processing Equipment4,Processing Equipment
Purchase20231231003,Purchase,2023-12-31,2023-12-31,300000.0,300000.0,Director,Staff,Paid,Cash,50000.0,S001,Supplier 1,P003,Chemical Product C,6.0,50000.0,,,,,,,,
Expense20240103001,Administrative Expenses,2024-01-03,2024-01-03,40874.33,40874.33,Director,Staff,Paid,Cash,,,,,,,,,,,,,,,
Expense20240103001,Administrative Expenses,2024-01-03,2024-01-03,29379.51,29379.51,Director,Staff,Paid,Cash,,,,,,,,,,,,,,,
Expense20240103001,Administrative Expenses,2024-01-03,2024-01-03,43565.7,43565.7,Director,Staff,Paid,Cash,,,,,,,,,,,,,,,
Expense20240103001,Administrative Expenses,2024-01-03,2024-01-03,13682.65,13682.65,Director,Staff,Paid,Cash,,,,,,,,,,,,,,,
Interest20240103003,Interest Receivables,2024-01-03,2024-01-03,346.68369627,346.68369627,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240104005,Sale,2024-01-04,2024-01-04,64374.65,64374.65,,,Unpaid,,10000.0,,,P001,Chemical Product A,5.0,12874.93,Account Receviable,C017,3218.73,61155.92,50000.0,14374.650000000001,,
Purchase20231231004,Purchase,2023-12-31,2023-12-31,2900000.0,2900000.0,Director,Staff,Paid,Cash,100000.0,S002,Supplier 2,P004,Chemical Product D,29.0,100000.0,,,,,,,,
Transfer20240104001,Bank to cash transfer,2024-01-04,2024-01-04,100000.0,100000.0,,,,,,,,,,,,,,,,,,,
Purchase20231231005,Purchase,2023-12-31,2023-12-31,1050000.0,1050000.0,Director,Staff,Paid,Cash,50000.0,S003,Supplier 3,P003,Chemical Product C,21.0,50000.0,,,,,,,,
Transfer20240104001,Bank to cash transfer,2024-01-04,2024-01-04,100000.0,100000.0,,,,,,,,,,,,,,,,,,,
Expense20240104001,Administrative Expenses,2024-01-04,2024-01-04,35126.92,35126.92,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Transfer20240104001,Bank to cash transfer,2024-01-04,2024-01-04,100000.0,100000.0,,,,,,,,,,,,,,,,,,,
Expense20240104001,Financial Expenses,2024-01-04,2024-01-04,37547.1,37547.1,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Transfer20240104001,Bank to cash transfer,2024-01-04,2024-01-04,100000.0,100000.0,,,,,,,,,,,,,,,,,,,
Expense20240104001,Sales Expenses,2024-01-04,2024-01-04,21353.44,21353.44,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Transfer20240104001,Bank to cash transfer,2024-01-04,2024-01-04,100000.0,100000.0,,,,,,,,,,,,,,,,,,,
Expense20240104001,Administrative Expenses,2024-01-04,2024-01-04,30776.69,30776.69,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Interest20240104004,Interest Receivables,2024-01-04,2024-01-04,291.07612692,291.07612692,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240105007,Sale,2024-01-05,2024-01-05,96770.88,96770.88,,,Paid,,20000.0,,,P002,Chemical Product B,4.0,24192.72,Cash,C008,4838.54,91932.34,80000.0,16770.880000000005,,
Transfer20240105001,Bank to cash transfer,2024-01-05,2024-01-05,100000.0,100000.0,,,,,,,,,,,,,,,,,,,
Transfer20240105001,Bank to cash transfer,2024-01-05,2024-01-05,100000.0,100000.0,,,,,,,,,,,,,,,,,,,
Transfer20240105001,Bank to cash transfer,2024-01-05,2024-01-05,100000.0,100000.0,,,,,,,,,,,,,,,,,,,
Expense20240105001,Financial Expenses,2024-01-05,2024-01-05,44535.78,44535.78,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Transfer20240105001,Bank to cash transfer,2024-01-05,2024-01-05,100000.0,100000.0,,,,,,,,,,,,,,,,,,,
Expense20240105001,Sales Expenses,2024-01-05,2024-01-05,34376.89,34376.89,Director,Staff,Paid,Cash,,,,,,,,,,,,,,,
Transfer20240105001,Bank to cash transfer,2024-01-05,2024-01-05,100000.0,100000.0,,,,,,,,,,,,,,,,,,,
Expense20240105001,Administrative Expenses,2024-01-05,2024-01-05,48716.99,48716.99,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Interest20240105005,Interest Receivables,2024-01-05,2024-01-05,235.21708718,235.21708718,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240106009,Sale,2024-01-06,2024-01-06,67806.75,67806.75,,,Paid,,20000.0,,,P002,Chemical Product B,3.0,22602.25,Cash,C012,3390.34,64416.41,60000.0,7806.75,,
Sale20240106010,Sale,2024-01-06,2024-01-06,116898.14,116898.14,,,Paid,,50000.0,,,P003,Chemical Product C,2.0,58449.07,Cash,C009,5844.91,111053.23,100000.0,16898.14,,
Transfer20240106001,Bank to cash transfer,2024-01-06,2024-01-06,100000.0,100000.0,,,,,,,,,,,,,,,,,,,
Transfer20240106001,Bank to cash transfer,2024-01-06,2024-01-06,100000.0,100000.0,,,,,,,,,,,,,,,,,,,
Transfer20240106001,Bank to cash transfer,2024-01-06,2024-01-06,100000.0,100000.0,,,,,,,,,,,,,,,,,,,
Expense20240106001,Administrative Expenses,2024-01-06,2024-01-06,30491.21,30491.21,Director,Staff,Paid,Cash,,,,,,,,,,,,,,,
