id,type,date,recorded_date,amount,recorded_amount,cost_per_unit,approver,preparer,payment/receipt_status,payment_method,supplier_id,supplier_name,product_id,product_name,quantity,unit_price,receive_method,customer_id,tax_amount,after_tax_amount,cost_amount,profit,asset_name,asset_type
Initial20231231001,Cash deposit,2023-12-31,2023-12-31,5000000.0,5000000.0,,,,,,,,,,,,,,,,,,,
Initial20231231001,Bank deposit,2023-12-31,2023-12-31,15000000.0,15000000.0,,,,,,,,,,,,,,,,,,,
Initial20231231001,Fixed Assets,2023-12-31,2023-12-31,8000000.0,8000000.0,,,,,,,,,,,,,,,,,,,
Purchase20231231001,Purchase,2023-12-31,2023-12-31,800000.0,800000.0,800000.0,Director,Senior Staff,Paid,Cash,S004,Supplier 4,P002,Heavy Equipment B,1.0,800000.0,,,,,,,,
Expense20240101001,Administrative Expenses,2024-01-01,2024-01-01,31077.04,31077.04,,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,
Depreciation20240101001,Depreciation,2024-01-01,2024-01-01,45751.31,45751.31,,,,,,,,,,,,,,,,,,,
Interest20240101001,Interest Receivables,2024-01-01,2024-01-01,1335.0,1335.0,,,,Unpaid,,,,,,,,Interest receviable,,,,,,,
Expense20240102001,Administrative Expenses,2024-01-02,2024-01-02,72434.17,72434.17,,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,
Interest20240102002,Interest Receivables,2024-01-02,2024-01-02,1335.0,1335.0,,,,Unpaid,,,,,,,,Interest receviable,,,,,,,
Sale20240103001,Sale,2024-01-03,2024-01-03,1126403.16,1126403.16,800000.0,,,Unpaid,,,,P002,Heavy Equipment B,1.0,1126403.16,Account Receviable,C011,56320.16,1070083.0,800000.0,326403.1599999999,,
Purchase20231231002,Purchase,2023-12-31,2023-12-31,2000000.0,2000000.0,1000000.0,Director,Senior Staff,Paid,Bank Transfer,S003,Supplier 3,P003,Heavy Equipment C,2.0,1000000.0,,,,,,,,
Expense20240103001,Sales Expenses,2024-01-03,2024-01-03,73422.33,73422.33,,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,
Expense20240103001,Administrative Expenses,2024-01-03,2024-01-03,41635.89,41635.89,,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,
Interest20240103003,Interest Receivables,2024-01-03,2024-01-03,1157.0,1157.0,,,,Unpaid,,,,,,,,Interest receviable,,,,,,,
Purchase20231231003,Purchase,2023-12-31,2023-12-31,800000.0,800000.0,800000.0,Director,Senior Staff,Paid,Bank Transfer,S003,Supplier 3,P002,Heavy Equipment B,1.0,800000.0,,,,,,,,
Expense20240104001,Financial Expenses,2024-01-04,2024-01-04,88194.75,88194.75,,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,
Expense20240104001,Sales Expenses,2024-01-04,2024-01-04,57286.12,57286.12,,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,
Interest20240104004,Interest Receivables,2024-01-04,2024-01-04,1085.8,1085.8,,,,Unpaid,,,,,,,,Interest receviable,,,,,,,
Purchase20231231004,Purchase,2023-12-31,2023-12-31,1000000.0,1000000.0,500000.0,Director,Staff,Paid,Bank Transfer,S009,Supplier 9,P001,Heavy Equipment A,2.0,500000.0,,,,,,,,
Expense20240105001,Financial Expenses,2024-01-05,2024-01-05,52101.64,52101.64,,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,
Interest20240105005,Interest Receivables,2024-01-05,2024-01-05,996.8,996.8,,,,Unpaid,,,,,,,,Interest receviable,,,,,,,
Sale20240106004,Sale,2024-01-06,2024-01-06,684558.74,684558.74,500000.0,,,Paid,,,,P001,Heavy Equipment A,1.0,684558.74,Cash,C001,34227.94,650330.8,500000.0,184558.74,,
Purchase20231231005,Purchase,2023-12-31,2023-12-31,3000000.0,3000000.0,1500000.0,Director,Staff,Paid,Bank Transfer,S001,Supplier 1,P004,Heavy Equipment D,2.0,1500000.0,,,,,,,,
Expense20240106001,Administrative Expenses,2024-01-06,2024-01-06,19433.8,19433.8,,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,
Interest20240106006,Interest Receivables,2024-01-06,2024-01-06,729.8,729.8,,,,Unpaid,,,,,,,,Interest receviable,,,,,,,
Sale20240107005,Sale,2024-01-07,2024-01-07,1354106.17,1354106.17,1000000.0,,,Paid,,,,P003,Heavy Equipment C,1.0,1354106.17,Cash,C001,67705.31,1286400.86,1000000.0,354106.1699999999,,
Purchase20231231006,Purchase,2023-12-31,2023-12-31,800000.0,800000.0,800000.0,Director,Supervisor,Paid,Bank Transfer,S009,Supplier 9,P002,Heavy Equipment B,1.0,800000.0,,,,,,,,
Expense20240107001,Sales Expenses,2024-01-07,2024-01-07,50312.93,50312.93,,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,
Expense20240107001,Sales Expenses,2024-01-07,2024-01-07,18529.12,18529.12,,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,
Interest20240107007,Interest Receivables,2024-01-07,2024-01-07,658.5999999999999,658.5999999999999,,,,Unpaid,,,,,,,,Interest receviable,,,,,,,
Sale20240108008,Sale,2024-01-08,2024-01-08,1081910.15,1081910.15,800000.0,,,Unpaid,,,,P002,Heavy Equipment B,1.0,1081910.15,Account Receviable,C011,54095.51,1027814.64,800000.0,281910.1499999999,,
Expense20240108001,Administrative Expenses,2024-01-08,2024-01-08,72933.8,72933.8,,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,
Expense20240108001,Administrative Expenses,2024-01-08,2024-01-08,91530.52,91530.52,,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,
Interest20240108008,Interest Receivables,2024-01-08,2024-01-08,658.5999999999999,658.5999999999999,,,,Unpaid,,,,,,,,Interest receviable,,,,,,,
Sale20240109009,Sale,2024-01-09,2024-01-09,2070499.57,2070499.57,1500000.0,,,Unpaid,,,,P004,Heavy Equipment D,1.0,2070499.57,Account Receviable,C005,103524.98,1966974.59,1500000.0,570499.5700000001,,
Purchase20231231007,Purchase,2023-12-31,2023-12-31,800000.0,800000.0,800000.0,Director,Staff,Paid,Bank Transfer,S001,Supplier 1,P002,Heavy Equipment B,1.0,800000.0,,,,,,,,
Purchase20231231008,Purchase,2023-12-31,2023-12-31,3000000.0,3000000.0,1500000.0,Director,Senior Staff,Paid,Cash,S001,Supplier 1,P004,Heavy Equipment D,2.0,1500000.0,,,,,,,,
Expense20240109001,Administrative Expenses,2024-01-09,2024-01-09,49974.11,49974.11,,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,
Interest20240109009,Interest Receivables,2024-01-09,2024-01-09,587.4,587.4,,,,Unpaid,,,,,,,,Interest receviable,,,,,,,
FixedAsset20231231001,Fixed Assets Purchase,2023-12-31,2023-12-31,871751.87,871751.87,,,,Paid,Bank Transfer,S009,Supplier 9,,,,,,,,,,,Heavy Machinery4,Heavy Machinery
Expense20240110001,Sales Expenses,2024-01-10,2024-01-10,23835.49,23835.49,,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,
Interest20240110010,Interest Receivables,2024-01-10,2024-01-10,509.81408357,509.81408357,,,,Unpaid,,,,,,,,Interest receviable,,,,,,,
Sale20240111011,Sale,2024-01-11,2024-01-11,2215044.89,2215044.89,1500000.0,,,Unpaid,,,,P004,Heavy Equipment D,1.0,2215044.89,Account Receviable,C003,110752.24,2104292.65,1500000.0,715044.8900000001,,
Purchase20231231009,Purchase,2023-12-31,2023-12-31,1000000.0,1000000.0,500000.0,Director,Senior Staff,Paid,Cash,S008,Supplier 8,P001,Heavy Equipment A,2.0,500000.0,,,,,,,,
Expense20240111001,Sales Expenses,2024-01-11,2024-01-11,10656.44,10656.44,,Director,Staff,Paid,Cash,,,,,,,,,,,,,,
Expense20240111001,Sales Expenses,2024-01-11,2024-01-11,79175.3,79175.3,,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,
Interest20240111011,Interest Receivables,2024-01-11,2024-01-11,509.81408357,509.81408357,,,,Unpaid,,,,,,,,Interest receviable,,,,,,,
Purchase20231231010,Purchase,2023-12-31,2023-12-31,2000000.0,2000000.0,1000000.0,Director,Senior Staff,Paid,Bank Transfer,S002,Supplier 2,P003,Heavy Equipment C,2.0,1000000.0,,,,,,,,
Expense20240112001,Administrative Expenses,2024-01-12,2024-01-12,39503.53,39503.53,,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,
