Account,Amount,Date
Main Business Revenue,18062437.45,2024-02-05
Total Revenue,18062437.45,2024-02-05
Cost of Goods Sold,13100000.00,2024-02-05
Total Cost,13100000.00,2024-02-05
Gross Profit,4962437.45,2024-02-05
Administrative Expenses,863669.20,2024-02-05
Selling Expenses,1468071.54,2024-02-05
Depreciation,138957.79,2024-02-05
Financial Expenses,351260.94,2024-02-05
Total Expenses,2821959.47,2024-02-05
Interest Income,13555.89,2024-02-05
Profit Before Tax,2154033.87,2024-02-05
Tax Expense,903121.89,2024-02-05
Net Profit,1250911.98,2024-02-05
