Account,Amount,Date
Cash Flow From Operating Activities,,2024-02-05
Net Profit ,1250911.98,2024-02-05
Depreciation ,138957.79,2024-02-05
(Increase) Decrease in Accounts Receivable ,-10537836.59,2024-02-05
(Increase) Decrease in Interest Receivable ,-13555.89,2024-02-05
(Increase) Decrease in Inventory ,-6100000.00,2024-02-05
Increase (Decrease) in Accounts Payable ,1000000.00,2024-02-05
Increase (Decrease) in Tax Payable ,903121.89,2024-02-05
Net Cash Flow from Operating Activities ,-13358400.82,2024-02-05
Cash Flow from Investing Activities,,2024-02-05
Purchase of Fixed Assets ,2496021.60,2024-02-05
Net Cash Flow from Investing Activities ,-2496021.60,2024-02-05
Cash and Cash Equivalents,,2024-02-05
Beginning Balance ,20000000.00,2024-02-05
Ending Balance ,4145577.58,2024-02-05
Net Increase ,-15854422.42,2024-02-05
