Account,Initial_amount,Initial_date,End_amount,End_date
Cash on Hand,5000000.00,2023-12-31,3041599.18,2024-02-05
Bank Deposits,15000000.00,2023-12-31,1103978.40,2024-02-05
Interest Receivable,0.00,2023-12-31,13555.89,2024-02-05
Accounts Receivable,0.00,2023-12-31,10537836.59,2024-02-05
Inventory,0.00,2023-12-31,6100000.00,2024-02-05
Total Current Assets,20000000.00,2023-12-31,20796970.06,2024-02-05
Fixed Assets,8000000.00,2023-12-31,10496021.60,2024-02-05
Accumulated Depreciation,0.00,2023-12-31,138957.79,2024-02-05
Total Non-current Assets,8000000.00,2023-12-31,10357063.81,2024-02-05
Total Assets,28000000.00,2023-12-31,31154033.87,2024-02-05
Accounts Payable,0.00,2023-12-31,1000000.00,2024-02-05
Taxes Payable,0.00,2023-12-31,903121.89,2024-02-05
Total Current Liabilities,0.00,2023-12-31,1903121.89,2024-02-05
Paid-in Capital,28000000.00,2023-12-31,28000000.00,2024-02-05
Retained Earnings,0.00,2023-12-31,1250911.98,2024-02-05
Total Owner's Equity,28000000.00,2023-12-31,29250911.98,2024-02-05
Total Liabilities and Owner's Equity,28000000.00,2023-12-31,31154033.87,2024-02-05
