id,recorded_type,recorded_date,recorded_amount,recorded_approver,recorded_preparer,recorded_payment/receipt_status,recorded_payment_method,recorded_cost_per_unit,supplier_id,supplier_name,product_id,recorded_product_name,recorded_quantity,recorded_unit_price,recorded_receive_method,recorded_customer_id,recorded_tax_amount,recorded_after_tax_amount,recorded_cost_amount,recorded_profit,asset_name,asset_type,invoice,risk_issues
Initial20231231001,Cash deposit,2023-12-31,3000000.0,,,,,,,,,,,,,,,,,,,,"On December 31, 2023, an invoice was issued for a Cash deposit, totaling $3000000.00.",
Initial20231231001,Bank deposit,2023-12-31,5000000.0,,,,,,,,,,,,,,,,,,,,"On December 31, 2023, an invoice was issued for a Bank deposit, totaling $5000000.00.",
Initial20231231001,Fixed Assets,2023-12-31,5000000.0,,,,,,,,,,,,,,,,,,,,"On December 31, 2023, an invoice was issued for a Fixed Assets, totaling $5000000.00.",
Purchase20231231001,Purchase,2023-12-31,40000.0,Director,Senior Staff,Paid,Bank Transfer,5000.0,S003,Supplier 3,P001,Premium Product A,8.0,5000.0,,,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 8.0 units at a unit price of $5000.00, totaling $40000.00. The payment_method of this transaction was bank transfer, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director. The supplier ID is S003, and the supplier name is Supplier 3.",
Purchase20231231002,Purchase,2023-12-31,60000.0,Director,Senior Staff,Unpaid,Account Payable,20000.0,S002,Supplier 2,P003,Premium Product C,3.0,20000.0,,,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 3.0 units at a unit price of $20000.00, totaling $60000.00. The payment_method of this transaction was account payable, and this transaction was unpaid. This transaction was prepared by Senior Staff, and the approver is Director. The supplier ID is S002, and the supplier name is Supplier 2.",
Purchase20231231003,Purchase,2023-12-31,60000.0,Director,Senior Staff,Unpaid,Account Payable,10000.0,S010,Supplier 10,P002,Premium Product B,6.0,10000.0,,,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 6.0 units at a unit price of $10000.00, totaling $60000.00. The payment_method of this transaction was account payable, and this transaction was unpaid. This transaction was prepared by Senior Staff, and the approver is Director. The supplier ID is S010, and the supplier name is Supplier 10.",
Purchase20231231004,Purchase,2023-12-31,100000.0,Director,Senior Staff,Unpaid,Account Payable,20000.0,S002,Supplier 2,P003,Premium Product C,5.0,20000.0,,,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 5.0 units at a unit price of $20000.00, totaling $100000.00. The payment_method of this transaction was account payable, and this transaction was unpaid. This transaction was prepared by Senior Staff, and the approver is Director. The supplier ID is S002, and the supplier name is Supplier 2.",
Expense20240101001,Sales Expenses,2024-01-01,3623.3,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,,"On January 01, 2024, an invoice was issued for a Sales Expenses, totaling $3623.30. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Expense20240101001,Financial Expenses,2024-01-01,20805.83,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,,"On January 01, 2024, an invoice was issued for a Financial Expenses, totaling $20805.83. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Expense20240101001,Sales Expenses,2024-01-01,27596.64,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,,"On January 01, 2024, an invoice was issued for a Sales Expenses, totaling $27596.64. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
