Account,Amount,Date
Cash Flow From Operating Activities,,2024-01-28
Net Profit ,1105265.77,2024-01-28
Depreciation ,45760.13,2024-01-28
(Increase) Decrease in Accounts Receivable ,-1454443.80,2024-01-28
(Increase) Decrease in Interest Receivable ,-11346.19,2024-01-28
(Increase) Decrease in Inventory ,-430000.00,2024-01-28
Increase (Decrease) in Accounts Payable ,1260000.00,2024-01-28
Increase (Decrease) in Tax Payable ,288001.20,2024-01-28
Net Cash Flow from Operating Activities ,803237.11,2024-01-28
Cash Flow from Investing Activities,,2024-01-28
Purchase of Fixed Assets ,437464.43,2024-01-28
Net Cash Flow from Investing Activities ,-437464.43,2024-01-28
Cash and Cash Equivalents,,2024-01-28
Beginning Balance ,8000000.00,2024-01-28
Ending Balance ,8365772.68,2024-01-28
Net Increase ,365772.68,2024-01-28
