Account,Amount,Date
Main Business Revenue,8361807.77,2024-01-28
Total Revenue,8361807.77,2024-01-28
Cost of Goods Sold,6720000.00,2024-01-28
Total Cost,6720000.00,2024-01-28
Gross Profit,1641807.77,2024-01-28
Administrative Expenses,1597051.08,2024-01-28
Selling Expenses,404114.07,2024-01-28
Depreciation,45751.04,2024-01-28
Financial Expenses,523376.99,2024-01-28
Total Expenses,2570293.18,2024-01-28
Interest Income,4535.06,2024-01-28
Profit Before Tax,-923950.35,2024-01-28
Tax Expense,418090.41,2024-01-28
Net Profit,-1342040.76,2024-01-28
