Account,Initial_amount,Initial_date,End_amount,End_date
Cash on Hand,3000000.00,2023-12-31,1379124.39,2024-01-28
Bank Deposits,5000000.00,2023-12-31,126796.33,2024-01-28
Interest Receivable,0.00,2023-12-31,4535.06,2024-01-28
Accounts Receivable,0.00,2023-12-31,2498141.24,2024-01-28
Inventory,0.00,2023-12-31,4530000.00,2024-01-28
Total Current Assets,8000000.00,2023-12-31,8538597.02,2024-01-28
Fixed Assets,5000000.00,2023-12-31,6593203.67,2024-01-28
Accumulated Depreciation,0.00,2023-12-31,45751.04,2024-01-28
Total Non-current Assets,5000000.00,2023-12-31,6547452.63,2024-01-28
Total Assets,13000000.00,2023-12-31,15086049.65,2024-01-28
Accounts Payable,0.00,2023-12-31,3010000.00,2024-01-28
Taxes Payable,0.00,2023-12-31,418090.41,2024-01-28
Total Current Liabilities,0.00,2023-12-31,3428090.41,2024-01-28
Paid-in Capital,13000000.00,2023-12-31,13000000.00,2024-01-28
Retained Earnings,0.00,2023-12-31,-1342040.76,2024-01-28
Total Owner's Equity,13000000.00,2023-12-31,11657959.24,2024-01-28
Total Liabilities and Owner's Equity,13000000.00,2023-12-31,15086049.65,2024-01-28
