Account,Amount,Date
Cash Flow From Operating Activities,,2024-01-28
Net Profit ,-1342040.76,2024-01-28
Depreciation ,45751.04,2024-01-28
(Increase) Decrease in Accounts Receivable ,-2498141.24,2024-01-28
(Increase) Decrease in Interest Receivable ,-4535.06,2024-01-28
(Increase) Decrease in Inventory ,-4530000.00,2024-01-28
Increase (Decrease) in Accounts Payable ,3010000.00,2024-01-28
Increase (Decrease) in Tax Payable ,418090.41,2024-01-28
Net Cash Flow from Operating Activities ,-4900875.61,2024-01-28
Cash Flow from Investing Activities,,2024-01-28
Purchase of Fixed Assets ,1593203.67,2024-01-28
Net Cash Flow from Investing Activities ,-1593203.67,2024-01-28
Cash and Cash Equivalents,,2024-01-28
Beginning Balance ,8000000.00,2024-01-28
Ending Balance ,1505920.72,2024-01-28
Net Increase ,-6494079.28,2024-01-28
