Account,Amount,Date
Cash Flow From Operating Activities,,2024-02-05
Net Profit ,405999.64,2024-02-05
Depreciation ,91498.88,2024-02-05
(Increase) Decrease in Accounts Receivable ,-10221447.35,2024-02-05
(Increase) Decrease in Interest Receivable ,-20559.00,2024-02-05
(Increase) Decrease in Inventory ,-8400000.00,2024-02-05
Increase (Decrease) in Accounts Payable ,0.00,2024-02-05
Increase (Decrease) in Tax Payable ,727140.68,2024-02-05
Net Cash Flow from Operating Activities ,-17417367.15,2024-02-05
Cash Flow from Investing Activities,,2024-02-05
Purchase of Fixed Assets ,0.00,2024-02-05
Net Cash Flow from Investing Activities ,-0.00,2024-02-05
Cash and Cash Equivalents,,2024-02-05
Beginning Balance ,20000000.00,2024-02-05
Ending Balance ,2582632.85,2024-02-05
Net Increase ,-17417367.15,2024-02-05
