Account,Initial_amount,Initial_date,End_amount,End_date
Cash on Hand,5000000.00,2023-12-31,1482632.85,2024-02-05
Bank Deposits,15000000.00,2023-12-31,1100000.00,2024-02-05
Interest Receivable,0.00,2023-12-31,20559.00,2024-02-05
Accounts Receivable,0.00,2023-12-31,10221447.35,2024-02-05
Inventory,0.00,2023-12-31,8400000.00,2024-02-05
Total Current Assets,20000000.00,2023-12-31,21224639.20,2024-02-05
Fixed Assets,8000000.00,2023-12-31,8000000.00,2024-02-05
Accumulated Depreciation,0.00,2023-12-31,91498.88,2024-02-05
Total Non-current Assets,8000000.00,2023-12-31,7908501.12,2024-02-05
Total Assets,28000000.00,2023-12-31,29133140.32,2024-02-05
Accounts Payable,0.00,2023-12-31,0.00,2024-02-05
Taxes Payable,0.00,2023-12-31,727140.68,2024-02-05
Total Current Liabilities,0.00,2023-12-31,727140.68,2024-02-05
Paid-in Capital,28000000.00,2023-12-31,28000000.00,2024-02-05
Retained Earnings,0.00,2023-12-31,405999.64,2024-02-05
Total Owner's Equity,28000000.00,2023-12-31,28405999.64,2024-02-05
Total Liabilities and Owner's Equity,28000000.00,2023-12-31,29133140.32,2024-02-05
