Account,Amount,Date
Cash Flow From Operating Activities,,2024-01-31
Net Profit ,-1669849.77,2024-01-31
Depreciation ,45742.50,2024-01-31
(Increase) Decrease in Accounts Receivable ,-2923459.19,2024-01-31
(Increase) Decrease in Interest Receivable ,-2566.71,2024-01-31
(Increase) Decrease in Inventory ,-3900000.00,2024-01-31
Increase (Decrease) in Accounts Payable ,2390000.00,2024-01-31
Increase (Decrease) in Tax Payable ,346025.72,2024-01-31
Net Cash Flow from Operating Activities ,-5714107.45,2024-01-31
Cash Flow from Investing Activities,,2024-01-31
Purchase of Fixed Assets ,1446972.73,2024-01-31
Net Cash Flow from Investing Activities ,-1446972.73,2024-01-31
Cash and Cash Equivalents,,2024-01-31
Beginning Balance ,8000000.00,2024-01-31
Ending Balance ,838919.82,2024-01-31
Net Increase ,-7161080.18,2024-01-31
