id,recorded_type,recorded_date,recorded_amount,recorded_approver,recorded_preparer,recorded_payment/receipt_status,recorded_payment_method,recorded_cost_per_unit,supplier_id,supplier_name,product_id,recorded_product_name,recorded_quantity,recorded_unit_price,recorded_receive_method,recorded_customer_id,recorded_tax_amount,recorded_after_tax_amount,recorded_cost_amount,recorded_profit,asset_name,asset_type,invoice,risk_issues
Initial20231231001,Cash deposit,2023-12-31,3000000.0,,,,,,,,,,,,,,,,,,,,"On December 31, 2023, an invoice was issued for a Cash deposit, totaling $3000000.00.",
Initial20231231001,Bank deposit,2023-12-31,5000000.0,,,,,,,,,,,,,,,,,,,,"On December 31, 2023, an invoice was issued for a Bank deposit, totaling $5000000.00.",
Initial20231231001,Fixed Assets,2023-12-31,5000000.0,,,,,,,,,,,,,,,,,,,,"On December 31, 2023, an invoice was issued for a Fixed Assets, totaling $5000000.00.",
Purchase20231231001,Purchase,2023-12-31,1100000.0,Director,Senior Staff,Paid,Bank Transfer,50000.0,S009,Supplier 9,P003,Chemical Product C,22.0,50000.0,,,,,,,,,"On December 31, 2023, an invoice was issued for a Purchase, consisting of 22.0 units at a unit price of $50000.00, totaling $1100000.00. The payment_method of this transaction was bank transfer, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director. The supplier ID is S009, and the supplier name is Supplier 9.",
Expense20240101001,Sales Expenses,2024-01-01,44699.56,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,,"On January 01, 2024, an invoice was issued for a Sales Expenses, totaling $44699.56. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Expense20240101001,Administrative Expenses,2024-01-01,8009.3,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,,"On January 01, 2024, an invoice was issued for a Administrative Expenses, totaling $8009.30. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Senior Staff, and the approver is Director.",
Expense20240101001,Sales Expenses,2024-01-01,49449.08,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,,"On January 01, 2024, an invoice was issued for a Sales Expenses, totaling $49449.08. The payment_method of this transaction was cash, and this transaction was paid. This transaction was prepared by Supervisor, and the approver is Director.",
Depreciation20240101001,Depreciation,2024-01-01,45742.5,,,,,,,,,,,,,,,,,,,,"On January 01, 2024, an invoice was issued for a Depreciation, totaling $45742.50.",
Interest20240101001,Interest Receivables,2024-01-01,347.1,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,,"On January 01, 2024, an invoice was issued for a Interest Receivables, totaling $347.10. The receive_method of this transaction was interest receviable, and this transaction was unpaid.",
Sale20240102003,Sale,2024-01-02,56077.82,,,Paid,,50000.0,,,P003,Chemical Product C,1.0,56077.82,Cash,C003,2803.89,53273.93,50000.0,6077.82,,,"On January 02, 2024, an invoice was issued for a Sale, consisting of 1.0 units at a unit price of $56077.82, totaling $56077.82. The cost amount for this transaction was $50000.00, with a tax amount of $2803.89, leading to a total amount due of $53273.93. The receive_method of this transaction was cash, and this transaction was paid.",
