id,type,date,recorded_date,amount,recorded_amount,approver,preparer,payment/receipt_status,payment_method,cost_per_unit,supplier_id,supplier_name,product_id,product_name,quantity,unit_price,receive_method,customer_id,tax_amount,after_tax_amount,cost_amount,profit,asset_name,asset_type
Initial20231231001,Cash deposit,2023-12-31,2023-12-31,3000000.0,3000000.0,,,,,,,,,,,,,,,,,,,
Initial20231231001,Bank deposit,2023-12-31,2023-12-31,5000000.0,5000000.0,,,,,,,,,,,,,,,,,,,
Initial20231231001,Fixed Assets,2023-12-31,2023-12-31,5000000.0,5000000.0,,,,,,,,,,,,,,,,,,,
Purchase20231231001,Purchase,2023-12-31,2023-12-31,1100000.0,1100000.0,Director,Senior Staff,Paid,Bank Transfer,50000.0,S009,Supplier 9,P003,Chemical Product C,22.0,50000.0,,,,,,,,
Expense20240101001,Sales Expenses,2024-01-01,2024-01-01,44699.56,44699.56,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Expense20240101001,Administrative Expenses,2024-01-01,2024-01-01,8009.3,8009.3,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Expense20240101001,Sales Expenses,2024-01-01,2024-01-01,49449.08,49449.08,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Depreciation20240101001,Depreciation,2024-01-01,2024-01-01,45742.5,45742.5,,,,,,,,,,,,,,,,,,,
Interest20240101001,Interest Receivables,2024-01-01,2024-01-01,347.09999999999997,347.09999999999997,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240102003,Sale,2024-01-02,2024-01-02,56077.82,56077.82,,,Paid,,50000.0,,,P003,Chemical Product C,1.0,56077.82,Cash,C003,2803.89,53273.93,50000.0,6077.82,,
Sale20240102004,Sale,2024-01-02,2024-01-02,193142.64,193142.64,,,Paid,,50000.0,,,P003,Chemical Product C,3.0,64380.88,Cash,C007,9657.13,183485.51,150000.0,43142.640000000014,,
Purchase20231231002,Purchase,2023-12-31,2023-12-31,240000.0,240000.0,Director,Senior Staff,Paid,Bank Transfer,20000.0,S006,Supplier 6,P002,Chemical Product B,12.0,20000.0,,,,,,,,
Expense20240102001,Sales Expenses,2024-01-02,2024-01-02,49984.06,49984.06,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Expense20240102001,Administrative Expenses,2024-01-02,2024-01-02,37543.84,37543.84,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Interest20240102002,Interest Receivables,2024-01-02,2024-01-02,325.74,325.74,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240103006,Sale,2024-01-03,2024-01-03,104969.84,104969.84,,,Paid,,20000.0,,,P002,Chemical Product B,4.0,26242.46,Cash,C018,5248.49,99721.35,80000.0,24969.839999999997,,
Sale20240103007,Sale,2024-01-03,2024-01-03,138398.85,138398.85,,,Paid,,20000.0,,,P002,Chemical Product B,5.0,27679.77,Cash,C001,6919.94,131478.91,100000.0,38398.850000000006,,
FixedAsset20231231001,Fixed Assets Purchase,2023-12-31,2023-12-31,230120.87,230120.87,,,Paid,Bank Transfer,,S002,Supplier 2,,,,,,,,,,,Storage Facilities4,Storage Facilities
Purchase20231231003,Purchase,2023-12-31,2023-12-31,90000.0,90000.0,Director,Supervisor,Unpaid,Account Payable,10000.0,S008,Supplier 8,P001,Chemical Product A,9.0,10000.0,,,,,,,,
Purchase20231231004,Purchase,2023-12-31,2023-12-31,300000.0,300000.0,Director,Supervisor,Paid,Cash,10000.0,S002,Supplier 2,P001,Chemical Product A,30.0,10000.0,,,,,,,,
Expense20240103001,Financial Expenses,2024-01-03,2024-01-03,46061.0,46061.0,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Expense20240103001,Administrative Expenses,2024-01-03,2024-01-03,31588.5,31588.5,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Expense20240103001,Financial Expenses,2024-01-03,2024-01-03,9607.24,9607.24,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Expense20240103001,Financial Expenses,2024-01-03,2024-01-03,46716.68,46716.68,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Interest20240103003,Interest Receivables,2024-01-03,2024-01-03,305.25924256999997,305.25924256999997,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240104008,Sale,2024-01-04,2024-01-04,48796.16,48796.16,,,Paid,,20000.0,,,P002,Chemical Product B,2.0,24398.08,Cash,C013,2439.81,46356.35,40000.0,8796.160000000003,,
Purchase20231231005,Purchase,2023-12-31,2023-12-31,320000.0,320000.0,Director,Supervisor,Paid,Bank Transfer,20000.0,S006,Supplier 6,P002,Chemical Product B,16.0,20000.0,,,,,,,,
Expense20240104001,Administrative Expenses,2024-01-04,2024-01-04,5201.04,5201.04,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Expense20240104001,Financial Expenses,2024-01-04,2024-01-04,49382.53,49382.53,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Expense20240104001,Administrative Expenses,2024-01-04,2024-01-04,19518.95,19518.95,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Expense20240104001,Administrative Expenses,2024-01-04,2024-01-04,48976.37,48976.37,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Interest20240104004,Interest Receivables,2024-01-04,2024-01-04,276.77924256999995,276.77924256999995,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240105009,Sale,2024-01-05,2024-01-05,262280.76,262280.76,,,Unpaid,,50000.0,,,P003,Chemical Product C,4.0,65570.19,Account Receviable,C007,13114.04,249166.72,200000.0,62280.76000000001,,
Sale20240105010,Sale,2024-01-05,2024-01-05,22074.18,22074.18,,,Paid,,20000.0,,,P002,Chemical Product B,1.0,22074.18,Cash,C016,1103.71,20970.47,20000.0,2074.1800000000003,,
FixedAsset20231231001,Fixed Assets Purchase,2023-12-31,2023-12-31,478737.63,478737.63,,,Paid,Bank Transfer,,S001,Supplier 1,,,,,,,,,,,Chemical Production Line5,Chemical Production Line
Purchase20231231006,Purchase,2023-12-31,2023-12-31,850000.0,850000.0,Director,Senior Staff,Paid,Bank Transfer,50000.0,S005,Supplier 5,P003,Chemical Product C,17.0,50000.0,,,,,,,,
Expense20240105001,Financial Expenses,2024-01-05,2024-01-05,34857.09,34857.09,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Expense20240105001,Administrative Expenses,2024-01-05,2024-01-05,18037.61,18037.61,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Expense20240105001,Sales Expenses,2024-01-05,2024-01-05,26194.52,26194.52,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Expense20240105001,Financial Expenses,2024-01-05,2024-01-05,6059.93,6059.93,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Interest20240105005,Interest Receivables,2024-01-05,2024-01-05,158.5215935,158.5215935,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240106012,Sale,2024-01-06,2024-01-06,68008.23,68008.23,,,Paid,,20000.0,,,P002,Chemical Product B,3.0,22669.41,Cash,C016,3400.41,64607.82,60000.0,8008.229999999996,,
Sale20240106013,Sale,2024-01-06,2024-01-06,170944.38,170944.38,,,Paid,,50000.0,,,P003,Chemical Product C,3.0,56981.46,Cash,C005,8547.22,162397.16,150000.0,20944.380000000005,,
Purchase20231231007,Purchase,2023-12-31,2023-12-31,480000.0,480000.0,Director,Supervisor,Paid,Bank Transfer,20000.0,S008,Supplier 8,P002,Chemical Product B,24.0,20000.0,,,,,,,,
Expense20240106001,Financial Expenses,2024-01-06,2024-01-06,48205.43,48205.43,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Expense20240106001,Sales Expenses,2024-01-06,2024-01-06,18843.43,18843.43,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Expense20240106001,Administrative Expenses,2024-01-06,2024-01-06,43386.11,43386.11,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Interest20240106006,Interest Receivables,2024-01-06,2024-01-06,115.8015935,115.8015935,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240107015,Sale,2024-01-07,2024-01-07,206723.58,206723.58,,,Unpaid,,50000.0,,,P003,Chemical Product C,3.0,68907.86,Account Receviable,C009,10336.18,196387.4,150000.0,56723.57999999999,,
