Account,Initial_amount,Initial_date,End_amount,End_date
Cash on Hand,3000000.00,2023-12-31,2103508.95,2024-02-05
Bank Deposits,5000000.00,2023-12-31,4714000.00,2024-02-05
Interest Receivable,0.00,2023-12-31,15414.09,2024-02-05
Accounts Receivable,0.00,2023-12-31,3149338.94,2024-02-05
Inventory,0.00,2023-12-31,0.00,2024-02-05
Total Current Assets,8000000.00,2023-12-31,9982261.98,2024-02-05
Fixed Assets,5000000.00,2023-12-31,5000000.00,2024-02-05
Accumulated Depreciation,0.00,2023-12-31,91503.27,2024-02-05
Total Non-current Assets,5000000.00,2023-12-31,4908496.73,2024-02-05
Total Assets,13000000.00,2023-12-31,14890758.71,2024-02-05
Accounts Payable,0.00,2023-12-31,302000.00,2024-02-05
Taxes Payable,0.00,2023-12-31,197821.72,2024-02-05
Total Current Liabilities,0.00,2023-12-31,499821.72,2024-02-05
Paid-in Capital,13000000.00,2023-12-31,13000000.00,2024-02-05
Retained Earnings,0.00,2023-12-31,1390936.99,2024-02-05
Total Owner's Equity,13000000.00,2023-12-31,14390936.99,2024-02-05
Total Liabilities and Owner's Equity,13000000.00,2023-12-31,14890758.71,2024-02-05
